Orthogroup	schmidtea_mediterranea	trichobilharzia_regenti
OG0004926	h1SMcT0021946.1	TREG1_101790.1, TREG1_101790.2, TREG1_101790.3, TREG1_101790.5, TREG1_101790.4, TREG1_101790.6
OG0004927	h1SMcT0015457.1, h1SMcT0015457.2	TREG1_120820.1
OG0004928	h1SMcT0007223.1	TREG1_82220.1
OG0004929	h1SMcT0011691.1, h1SMcT0011691.3, h1SMcT0011691.2	TREG1_71300.1
OG0004931	h1SMcT0021026.3, h1SMcT0021026.2, h1SMcT0021026.1	TREG1_42020.1, TREG1_42020.2
OG0004932	h1SMcT0004491.1, h1SMcT0004491.2	TREG1_21630.1, TREG1_21630.2, TREG1_21630.3
OG0004934	h1SMcT0009728.1, h1SMcT0013123.1	TREG1_39230.1
OG0004937	h1SMcT0002154.1	TREG1_124300.1
OG0004938	h1SMcT0022317.1, h1SMcT0022317.2, h1SMcT0022317.3	TREG1_64770.1
OG0004939	h1SMcT0016154.1	TREG1_112930.1
OG0004940	h1SMcT0007797.10, h1SMcT0007797.7, h1SMcT0007797.8, h1SMcT0007797.9	TREG1_70250.1
OG0004941	h1SMcT0004693.1	TREG1_87720.1, TREG1_87720.2
OG0004942	h1SMcT0014803.1	TREG1_139630.1, TREG1_144450.1, TREG1_90630.1, TREG1_139630.2
OG0004943	h1SMcT0009531.1	TREG1_86210.1, TREG1_86210.2, TREG1_86210.3, TREG1_86210.4, TREG1_86210.5
OG0004944	h1SMcT0020457.1, h1SMcT0020457.2	TREG1_76230.1
OG0004947	h1SMcT0020638.1, h1SMcT0010245.1, h1SMcT0010245.2	TREG1_44010.1
OG0004948	h1SMcT0005964.1	TREG1_50820.1, TREG1_50830.1
OG0004959	h1SMcT0004624.1	TREG1_30110.1, TREG1_30120.1
OG0004972	h1SMcT0015882.1	TREG1_26200.1
OG0004973	h1SMcT0000268.1, h1SMcT0002651.1, h1SMcT0015987.1, h1SMcT0019190.3, h1SMcT0019190.2, h1SMcT0019190.1	TREG1_41960.1, TREG1_130380.1
OG0004974	h1SMcT0015186.1	TREG1_64190.1
OG0004976	h1SMcT0019865.1	TREG1_134970.1, TREG1_134970.2
OG0004977	h1SMcT0004505.1, h1SMcT0004505.2, h1SMcT0000458.1, h1SMcT0004508.1	TREG1_87020.1
OG0004979	h1SMcT0006960.1, h1SMcT0022188.1, h1SMcT0022188.2, h1SMcT0022188.3, h1SMcT0017831.1, h1SMcT0017831.2	TREG1_70440.1
OG0004980	h1SMcT0010915.1, h1SMcT0014641.1, h1SMcT0016799.1	TREG1_49100.1
OG0004981	h1SMcT0005879.1, h1SMcT0002890.1, h1SMcT0002890.2, h1SMcT0002890.3, h1SMcT0018843.1	TREG1_85960.1
OG0004982	h1SMcT0001033.1, h1SMcT0001033.2	TREG1_118370.1
OG0004984	h1SMcT0010218.1, h1SMcT0015647.1, h1SMcT0015647.2, h1SMcT0017198.1, h1SMcT0017198.2	TREG1_51240.3, TREG1_51240.2, TREG1_51240.1
OG0004985	h1SMcT0006914.1	TREG1_105470.1
OG0004986	h1SMcT0021852.1, h1SMcT0021852.2	TREG1_49200.1
OG0004987	h1SMcT0004717.1	TREG1_36220.1, TREG1_36220.2
OG0004988	h1SMcT0001984.1	TREG1_5210.1
OG0004989	h1SMcT0000588.1, h1SMcT0000588.3	TREG1_99800.1
OG0004990	h1SMcT0006669.1, h1SMcT0017498.1, h1SMcT0017498.2	TREG1_16440.1, TREG1_16440.2
OG0004991	h1SMcT0011808.1, h1SMcT0014387.1	TREG1_2440.1, TREG1_2440.2
OG0004994	h1SMcT0000226.1	TREG1_64050.1, TREG1_64050.2
OG0004995	h1SMcT0013790.1, h1SMcT0013790.2	TREG1_49950.1
OG0004996	h1SMcT0008267.1	TREG1_87840.1
OG0004997	h1SMcT0000065.1, h1SMcT0014016.1	TREG1_112640.1
OG0004998	h1SMcT0005168.1, h1SMcT0007703.1, h1SMcT0020684.1, h1SMcT0020684.2	TREG1_7370.1
OG0004999	h1SMcT0008303.1	TREG1_120850.1, TREG1_120850.2, TREG1_120850.3
OG0005001	h1SMcT0014640.1	TREG1_117610.1
OG0005003	h1SMcT0022097.1, h1SMcT0022097.2	TREG1_38760.1, TREG1_38760.2
OG0005004	h1SMcT0018118.1	TREG1_87740.1, TREG1_87740.2
OG0005005	h1SMcT0002606.2, h1SMcT0002606.3, h1SMcT0002606.4, h1SMcT0002606.1	TREG1_44980.1, TREG1_44980.2
OG0005007	h1SMcT0007553.1	TREG1_41250.1
OG0005008	h1SMcT0000319.1, h1SMcT0004391.1	TREG1_124670.1, TREG1_124670.2
OG0005009	h1SMcT0008865.1, h1SMcT0008865.2	TREG1_49750.1, TREG1_49750.2
OG0005010	h1SMcT0003251.1, h1SMcT0003251.2	TREG1_46420.1
OG0005011	h1SMcT0003319.1	TREG1_48660.1
OG0005012	h1SMcT0021619.1	TREG1_131530.1, TREG1_131530.2, TREG1_131530.3, TREG1_131530.4
OG0005013	h1SMcT0002908.1, h1SMcT0002908.2	TREG1_52750.1, TREG1_52750.2
OG0005014	h1SMcT0001097.1	TREG1_113520.1
OG0005016	h1SMcT0006696.1	TREG1_80190.1, TREG1_80190.2
OG0005017	h1SMcT0013488.1, h1SMcT0013488.2	TREG1_134480.1, TREG1_134510.1
OG0005018	h1SMcT0019241.1	TREG1_54540.1
OG0005019	h1SMcT0013916.2, h1SMcT0013916.1, h1SMcT0013922.1	TREG1_121830.1
OG0005020	h1SMcT0015330.3, h1SMcT0015330.1, h1SMcT0015330.2	TREG1_35960.1, TREG1_35970.1
OG0005022	h1SMcT0005390.1	TREG1_54750.1, TREG1_54750.2, TREG1_54750.3
OG0005026	h1SMcT0013764.1	TREG1_87630.1, TREG1_87640.1
OG0005027	h1SMcT0006617.1, h1SMcT0008146.1, h1SMcT0019264.1	TREG1_54210.1
OG0005030	h1SMcT0008432.1, h1SMcT0008432.3, h1SMcT0008432.2	TREG1_58900.2, TREG1_58900.1, TREG1_58900.3
OG0005031	h1SMcT0003422.1, h1SMcT0021860.1, h1SMcT0017431.1, h1SMcT0017431.2	TREG1_48400.1, TREG1_48400.2
OG0005035	h1SMcT0010076.1	TREG1_80160.1, TREG1_80160.2, TREG1_80160.3
OG0005037	h1SMcT0005959.1	TREG1_53560.1
OG0005039	h1SMcT0011291.1	TREG1_78210.1
OG0005040	h1SMcT0023080.1, h1SMcT0023080.2	TREG1_61760.1
OG0005041	h1SMcT0023024.1, h1SMcT0000496.1, h1SMcT0000496.2, h1SMcT0011331.3, h1SMcT0014533.1, h1SMcT0014533.2, h1SMcT0005966.1, h1SMcT0015848.1, h1SMcT0004567.1, h1SMcT0012111.1	TREG1_80400.1
OG0005042	h1SMcT0002893.1	TREG1_47880.1, TREG1_47880.2
OG0005043	h1SMcT0014512.1, h1SMcT0014512.2	TREG1_87510.1
OG0005044	h1SMcT0007245.1	TREG1_116450.1, TREG1_116450.2
OG0005045	h1SMcT0013190.1, h1SMcT0022884.1	TREG1_41370.1
OG0005046	h1SMcT0019533.1	TREG1_76790.1
OG0005048	h1SMcT0015415.1, h1SMcT0015415.2, h1SMcT0013594.1, h1SMcT0013594.2, h1SMcT0014633.1, h1SMcT0014633.3, h1SMcT0014633.2, h1SMcT0014633.4	TREG1_10390.1
OG0005049	h1SMcT0021517.1, h1SMcT0021517.2	TREG1_122050.1, TREG1_122050.2
OG0005050	h1SMcT0011969.1	TREG1_82430.2, TREG1_82420.1, TREG1_82430.1, TREG1_82430.3, TREG1_82430.4, TREG1_82430.5
OG0005053	h1SMcT0004888.1	TREG1_50540.1, TREG1_50540.2, TREG1_50540.3, TREG1_50540.4
OG0005054	h1SMcT0019179.1	TREG1_133540.1
OG0005055	h1SMcT0016790.1	TREG1_6390.1
OG0005056	h1SMcT0004781.1, h1SMcT0004781.2, h1SMcT0011863.1, h1SMcT0014657.1, h1SMcT0014657.3	TREG1_50430.2, TREG1_50430.1, TREG1_50430.3
OG0005057	h1SMcT0002965.2, h1SMcT0002965.1, h1SMcT0002965.3, h1SMcT0013084.1, h1SMcT0014095.1	TREG1_33950.1
OG0005058	h1SMcT0013621.1, h1SMcT0013621.2	TREG1_73190.1
OG0005059	h1SMcT0009001.1, h1SMcT0009001.2	TREG1_27210.1
OG0005062	h1SMcT0009273.1, h1SMcT0009273.2	TREG1_51070.1, TREG1_51070.3, TREG1_51070.2, TREG1_51070.4
OG0005064	h1SMcT0006481.1, h1SMcT0018354.1	TREG1_112040.1, TREG1_112040.2, TREG1_112040.3, TREG1_112040.4
OG0005065	h1SMcT0000907.1	TREG1_18050.1
OG0005067	h1SMcT0008360.1, h1SMcT0008360.2	TREG1_44520.1, TREG1_44520.2
OG0005068	h1SMcT0019233.3, h1SMcT0019233.4, h1SMcT0019233.1, h1SMcT0019233.2	TREG1_99950.1
OG0005070	h1SMcT0001440.1	TREG1_10300.1
OG0005071	h1SMcT0011428.1	TREG1_34930.1, TREG1_34930.2
OG0005072	h1SMcT0022456.2, h1SMcT0022456.1, h1SMcT0022456.3	TREG1_49320.1
OG0005073	h1SMcT0018881.1, h1SMcT0018881.2, h1SMcT0018881.3	TREG1_18460.1, TREG1_18460.2, TREG1_18460.3
OG0005074	h1SMcT0014352.1, h1SMcT0016045.1	TREG1_11230.1, TREG1_11230.2
OG0005076	h1SMcT0017140.1	TREG1_44610.1
OG0005077	h1SMcT0015626.1	TREG1_73310.1
OG0005078	h1SMcT0001220.1	TREG1_140500.1, TREG1_95740.1
OG0005079	h1SMcT0004371.2, h1SMcT0004371.3	TREG1_39780.1, TREG1_39780.2, TREG1_39780.3
OG0005081	h1SMcT0004620.1	TREG1_7090.1
OG0005082	h1SMcT0022564.1	TREG1_58020.1
OG0005083	h1SMcT0010656.1	TREG1_42440.1
OG0005084	h1SMcT0012899.1, h1SMcT0012899.2	TREG1_131910.1
OG0005085	h1SMcT0015294.1, h1SMcT0015294.2, h1SMcT0011292.1, h1SMcT0011292.2, h1SMcT0011292.3	TREG1_18090.1, TREG1_18090.2
OG0005086	h1SMcT0022258.1, h1SMcT0022258.2	TREG1_92350.1, TREG1_92350.2, TREG1_92350.3
OG0005087	h1SMcT0018954.1, h1SMcT0001701.1, h1SMcT0001701.2	TREG1_106500.1, TREG1_106500.2, TREG1_106500.3, TREG1_106500.4
OG0005089	h1SMcT0007941.1, h1SMcT0009836.1	TREG1_103840.1, TREG1_103850.1
OG0005090	h1SMcT0010087.1	TREG1_88940.1, TREG1_88930.1
OG0005091	h1SMcT0002017.1, h1SMcT0013693.1	TREG1_17420.1
OG0005092	h1SMcT0010072.1, h1SMcT0019998.1, h1SMcT0019998.4, h1SMcT0019998.3, h1SMcT0019998.2	TREG1_35070.1
OG0005094	h1SMcT0000080.1, h1SMcT0005396.1	TREG1_98480.1
OG0005097	h1SMcT0016430.1, h1SMcT0009847.1, h1SMcT0010038.1, h1SMcT0010038.2	TREG1_134310.1
OG0005098	h1SMcT0018894.1	TREG1_73040.1
OG0005099	h1SMcT0011933.1	TREG1_129560.1
OG0005102	h1SMcT0012817.1, h1SMcT0012817.2	TREG1_84060.1
OG0005103	h1SMcT0021532.1	TREG1_107410.1, TREG1_107410.2
OG0005107	h1SMcT0006937.1	TREG1_43700.1, TREG1_43700.2
OG0005108	h1SMcT0015283.1, h1SMcT0021565.1, h1SMcT0013875.1	TREG1_114440.1, TREG1_114440.2
OG0005111	h1SMcT0011853.1	TREG1_71490.1, TREG1_71490.2, TREG1_71490.3
OG0005112	h1SMcT0003331.1, h1SMcT0018226.1	TREG1_18340.1
OG0005113	h1SMcT0018191.2, h1SMcT0020180.1	TREG1_99880.1
OG0005115	h1SMcT0019652.1, h1SMcT0019652.2	TREG1_85080.1
OG0005116	h1SMcT0017242.2, h1SMcT0017242.1, h1SMcT0017242.3	TREG1_39590.1
OG0005117	h1SMcT0007636.1, h1SMcT0007636.2, h1SMcT0007636.3	TREG1_500.1
OG0005118	h1SMcT0016544.1, h1SMcT0020417.1, h1SMcT0021438.1, h1SMcT0021400.1, h1SMcT0021141.1, h1SMcT0018920.1, h1SMcT0018920.2	TREG1_124780.1
OG0005120	h1SMcT0000932.1, h1SMcT0000932.2	TREG1_114350.1
OG0005121	h1SMcT0005495.1, h1SMcT0005495.2	TREG1_105940.1
OG0005122	h1SMcT0010688.1	TREG1_128040.1
OG0005125	h1SMcT0020027.1	TREG1_10000.1, TREG1_10000.2, TREG1_10000.3
OG0005126	h1SMcT0013597.1	TREG1_81660.1, TREG1_81660.2, TREG1_81660.3, TREG1_81660.4
OG0005127	h1SMcT0018877.1, h1SMcT0018877.2	TREG1_34430.1
OG0005128	h1SMcT0006065.3, h1SMcT0006065.1, h1SMcT0006065.4, h1SMcT0006065.5	TREG1_80000.1
OG0005130	h1SMcT0020609.1	TREG1_29420.1, TREG1_29420.2
OG0005131	h1SMcT0015540.1	TREG1_64730.1
OG0005133	h1SMcT0014956.1, h1SMcT0016361.2, h1SMcT0016361.3	TREG1_77080.1, TREG1_77080.2
OG0005134	h1SMcT0008716.1	TREG1_68510.1
OG0005135	h1SMcT0007961.1, h1SMcT0007961.2	TREG1_42660.1
OG0005136	h1SMcT0009156.1	TREG1_100150.1, TREG1_137250.1
OG0005137	h1SMcT0001950.1	TREG1_109250.1, TREG1_109250.5, TREG1_109250.6, TREG1_109250.8, TREG1_109250.2, TREG1_109250.3, TREG1_109250.4, TREG1_109250.7, TREG1_109250.9
OG0005138	h1SMcT0011646.1, h1SMcT0011646.2, h1SMcT0011646.3	TREG1_16710.1
OG0005140	h1SMcT0007389.1	TREG1_35420.1
OG0005141	h1SMcT0005874.3, h1SMcT0005874.1, h1SMcT0005874.2	TREG1_131730.1
OG0005142	h1SMcT0015342.1	TREG1_69380.1
OG0005144	h1SMcT0010503.1	TREG1_104690.1
OG0005145	h1SMcT0008202.1, h1SMcT0008202.2, h1SMcT0002373.1, h1SMcT0002373.2	TREG1_18650.1
OG0005146	h1SMcT0014241.1, h1SMcT0014241.2	TREG1_24610.1
OG0005147	h1SMcT0013184.1, h1SMcT0016878.1, h1SMcT0001573.1, h1SMcT0008159.1	TREG1_65310.1
OG0005148	h1SMcT0001317.3, h1SMcT0001317.2, h1SMcT0001317.1, h1SMcT0016229.1, h1SMcT0020437.1	TREG1_70860.1
OG0005149	h1SMcT0013601.1	TREG1_5380.1, TREG1_5380.2
OG0005150	h1SMcT0011445.1, h1SMcT0011445.2	TREG1_36600.1
OG0005153	h1SMcT0002260.1, h1SMcT0002260.2	TREG1_119930.1
OG0005154	h1SMcT0008358.1	TREG1_74420.1
OG0005156	h1SMcT0022323.1	TREG1_100670.1
OG0005158	h1SMcT0021646.1	TREG1_119880.1
OG0005160	h1SMcT0017442.1, h1SMcT0021735.1	TREG1_56000.1
OG0005161	h1SMcT0019962.1, h1SMcT0019962.2	TREG1_48090.1
OG0005162	h1SMcT0017851.1	TREG1_75720.1, TREG1_75720.2
OG0005163	h1SMcT0003714.1, h1SMcT0003714.2	TREG1_108620.1
OG0005164	h1SMcT0010665.1	TREG1_60800.1, TREG1_60800.2
OG0005165	h1SMcT0002239.1, h1SMcT0016743.1	TREG1_130420.1
OG0005166	h1SMcT0007517.1	TREG1_68310.1
OG0005167	h1SMcT0018184.1	TREG1_102690.2
OG0005168	h1SMcT0009460.1, h1SMcT0009255.1, h1SMcT0009256.1	TREG1_69570.1
OG0005169	h1SMcT0013948.1	TREG1_30580.1, TREG1_30580.2, TREG1_30580.3
OG0005171	h1SMcT0018450.1, h1SMcT0018450.2	TREG1_18850.1
OG0005172	h1SMcT0017147.1	TREG1_68920.1, TREG1_68920.2
OG0005173	h1SMcT0019749.2, h1SMcT0019749.3	TREG1_132580.1
OG0005174	h1SMcT0005368.1	TREG1_121750.1, TREG1_121750.2
OG0005175	h1SMcT0010599.1, h1SMcT0010599.2	TREG1_134890.1, TREG1_134890.2, TREG1_134890.3, TREG1_134890.4
OG0005176	h1SMcT0021163.1	TREG1_57690.1
OG0005177	h1SMcT0002697.4, h1SMcT0002697.2, h1SMcT0002697.3, h1SMcT0002697.6, h1SMcT0002697.5, h1SMcT0002697.1, h1SMcT0002697.7, h1SMcT0002697.8	TREG1_102430.1
OG0005179	h1SMcT0005022.1	TREG1_115850.1
OG0005180	h1SMcT0012658.1, h1SMcT0012658.2, h1SMcT0010438.1, h1SMcT0010438.2	TREG1_23570.1
OG0005181	h1SMcT0019487.1	TREG1_114980.1
OG0005182	h1SMcT0003504.1	TREG1_61550.1, TREG1_61550.3, TREG1_61550.2
OG0005183	h1SMcT0018644.1, h1SMcT0018644.2	TREG1_80050.1, TREG1_80050.2, TREG1_80050.3
OG0005184	h1SMcT0006292.1, h1SMcT0006294.2, h1SMcT0006294.1, h1SMcT0006294.3	TREG1_86750.1, TREG1_86750.2
OG0005185	h1SMcT0004545.1, h1SMcT0006069.1, h1SMcT0006069.2	TREG1_103440.1, TREG1_103440.2, TREG1_103440.3, TREG1_103440.4
OG0005188	h1SMcT0014837.1, h1SMcT0014837.2	TREG1_120140.1, TREG1_120140.2
OG0005189	h1SMcT0016859.1	TREG1_52590.1, TREG1_52590.2
OG0005190	h1SMcT0020179.1, h1SMcT0020179.2, h1SMcT0020179.3	TREG1_106520.1
OG0005191	h1SMcT0022602.1	TREG1_101280.1, TREG1_101280.2, TREG1_101280.3
OG0005192	h1SMcT0010739.1, h1SMcT0010739.2	TREG1_107120.1, TREG1_137320.1, TREG1_145210.1
OG0005193	h1SMcT0004292.1, h1SMcT0007575.1, h1SMcT0002383.1, h1SMcT0002383.2	TREG1_114120.1
OG0005194	h1SMcT0016411.1, h1SMcT0010364.1, h1SMcT0010364.2, h1SMcT0014969.1, h1SMcT0014970.1, h1SMcT0002605.1, h1SMcT0002605.2, h1SMcT0014400.1	TREG1_144780.1, TREG1_144760.1, TREG1_144770.1
OG0005195	h1SMcT0020581.3, h1SMcT0020581.2, h1SMcT0020581.1, h1SMcT0020581.4	TREG1_58390.1
OG0005196	h1SMcT0008317.1	TREG1_79020.1
OG0005197	h1SMcT0006820.1	TREG1_29740.1, TREG1_29740.2
OG0005198	h1SMcT0020475.1, h1SMcT0020475.2	TREG1_63490.1
OG0005199	h1SMcT0020796.1	TREG1_120130.1, TREG1_120130.2, TREG1_120130.3, TREG1_120130.4
OG0005200	h1SMcT0006036.1, h1SMcT0021477.1	TREG1_75060.1
OG0005202	h1SMcT0001747.1	TREG1_35020.1
OG0005204	h1SMcT0000429.1, h1SMcT0000429.2	TREG1_9260.1, TREG1_9260.2, TREG1_9260.3, TREG1_9260.4
OG0005205	h1SMcT0016384.1, h1SMcT0016384.3, h1SMcT0016384.2	TREG1_4910.1, TREG1_4910.2
OG0005206	h1SMcT0013001.1	TREG1_66360.1
OG0005207	h1SMcT0022601.1, h1SMcT0012871.1, h1SMcT0021038.1	TREG1_117340.1, TREG1_117340.2
OG0005208	h1SMcT0001241.1	TREG1_76260.1, TREG1_76260.2, TREG1_76260.3
OG0005211	h1SMcT0002379.1, h1SMcT0009893.1, h1SMcT0007256.1, h1SMcT0021478.1	TREG1_75040.1
OG0005212	h1SMcT0022523.1	TREG1_6780.1, TREG1_6780.2, TREG1_6780.3, TREG1_6780.5, TREG1_6780.6, TREG1_6780.4
OG0005213	h1SMcT0001006.1, h1SMcT0001006.3, h1SMcT0001006.2	TREG1_110710.1
OG0005214	h1SMcT0011132.1, h1SMcT0011132.2, h1SMcT0011132.3	TREG1_8550.1
OG0005215	h1SMcT0010625.1, h1SMcT0011878.1	TREG1_107980.1
OG0005216	h1SMcT0013218.2, h1SMcT0013218.1, h1SMcT0013218.3	TREG1_1190.1, TREG1_1190.2
OG0005217	h1SMcT0019440.1	TREG1_101830.1
OG0005218	h1SMcT0009334.2, h1SMcT0009334.1, h1SMcT0009334.3	TREG1_125910.1, TREG1_125910.2
OG0005219	h1SMcT0002582.1	TREG1_11250.1, TREG1_11250.2
OG0005220	h1SMcT0021446.1	TREG1_1950.1, TREG1_1960.1
OG0005221	h1SMcT0012226.2, h1SMcT0012226.1, h1SMcT0012226.3	TREG1_57960.1
OG0005222	h1SMcT0007989.1	TREG1_134610.1
OG0005222	h1SMcT0011200.1	TREG1_4710.1, TREG1_4710.2
OG0005223	h1SMcT0021783.1, h1SMcT0019022.1, h1SMcT0020565.1	TREG1_94980.1, TREG1_94980.2, TREG1_94980.3
OG0005224	h1SMcT0022033.3, h1SMcT0022033.2, h1SMcT0022033.1	TREG1_93420.1
OG0005225	h1SMcT0003494.1, h1SMcT0003494.2	TREG1_46440.1
OG0005226	h1SMcT0011805.1	TREG1_35030.1, TREG1_35030.3, TREG1_35030.4, TREG1_35030.2
OG0005227	h1SMcT0003569.1, h1SMcT0013010.1	TREG1_10980.1
OG0005229	h1SMcT0019174.1, h1SMcT0019175.1, h1SMcT0019176.1, h1SMcT0019504.1, h1SMcT0006033.1, h1SMcT0019124.1, h1SMcT0019124.2	TREG1_14430.1
OG0005230	h1SMcT0003226.1, h1SMcT0009626.1	TREG1_63920.1, TREG1_63920.2
OG0005231	h1SMcT0006267.1, h1SMcT0012375.1	TREG1_34720.1
OG0005233	h1SMcT0003543.1, h1SMcT0003543.2	TREG1_24350.1, TREG1_24350.2, TREG1_24350.3
OG0005234	h1SMcT0009154.1, h1SMcT0009154.2	TREG1_20100.1
OG0005237	h1SMcT0015847.1, h1SMcT0015847.2	TREG1_110160.1
OG0005238	h1SMcT0018416.1	TREG1_136950.1
OG0005240	h1SMcT0009986.1	TREG1_85570.1
OG0005241	h1SMcT0010536.1	TREG1_82840.1
OG0005244	h1SMcT0018206.1	TREG1_29780.1
OG0005247	h1SMcT0015327.1, h1SMcT0016935.1, h1SMcT0016935.2	TREG1_16690.1
OG0005248	h1SMcT0022068.1	TREG1_93630.1
OG0005249	h1SMcT0020925.1	TREG1_15310.2, TREG1_15310.1, TREG1_15310.3
OG0005252	h1SMcT0004216.1, h1SMcT0003227.1, h1SMcT0011960.4	TREG1_102750.1
OG0005255	h1SMcT0022207.1	TREG1_131100.1, TREG1_54780.1, TREG1_131130.1, TREG1_131140.1, TREG1_139500.1, TREG1_54800.1, TREG1_54800.2
OG0005256	h1SMcT0006781.1	TREG1_110240.1, TREG1_110240.2
OG0005259	h1SMcT0010193.1, h1SMcT0010193.2	TREG1_106430.3, TREG1_106430.1, TREG1_106430.2
OG0005263	h1SMcT0013829.1, h1SMcT0013829.2, h1SMcT0013829.3	TREG1_32500.1
OG0005283	h1SMcT0002380.1	TREG1_121100.1
OG0005284	h1SMcT0001301.3	TREG1_107460.1
OG0005285	h1SMcT0003242.1	TREG1_51180.1, TREG1_51200.1, TREG1_51190.1
OG0005287	h1SMcT0005450.1, h1SMcT0005450.2	TREG1_20820.1
OG0005288	h1SMcT0017172.2, h1SMcT0017172.3, h1SMcT0017172.1, h1SMcT0017172.4	TREG1_69780.1
OG0005289	h1SMcT0000523.1	TREG1_65010.1, TREG1_65010.2
OG0005290	h1SMcT0004323.2, h1SMcT0004323.1, h1SMcT0004323.3	TREG1_56420.1
OG0005292	h1SMcT0004388.1, h1SMcT0004388.2	TREG1_30710.1, TREG1_30710.2, TREG1_30710.3, TREG1_30710.4
OG0005293	h1SMcT0002811.1, h1SMcT0002811.2	TREG1_79600.1, TREG1_79600.2
OG0005294	h1SMcT0012241.1	TREG1_75830.1
OG0005295	h1SMcT0003821.1	TREG1_75590.3, TREG1_75590.4, TREG1_75590.2, TREG1_75590.5, TREG1_75590.1
OG0005296	h1SMcT0015665.1	TREG1_30760.1, TREG1_30760.2
OG0005297	h1SMcT0019461.1, h1SMcT0019461.2	TREG1_114880.1
OG0005298	h1SMcT0000587.3, h1SMcT0000587.1, h1SMcT0000587.2	TREG1_55920.1, TREG1_55920.2
OG0005300	h1SMcT0001478.2	TREG1_126140.1
OG0005301	h1SMcT0008033.1	TREG1_101740.1
OG0005302	h1SMcT0021406.4, h1SMcT0021406.1, h1SMcT0021406.3, h1SMcT0021406.2	TREG1_14850.2, TREG1_14850.1, TREG1_14850.3
OG0005303	h1SMcT0018047.1	TREG1_73230.1, TREG1_73230.4
OG0005304	h1SMcT0022522.1, h1SMcT0022522.2	TREG1_122480.1, TREG1_122480.2
OG0005306	h1SMcT0007567.1, h1SMcT0007828.1	TREG1_27780.1
OG0005307	h1SMcT0010020.1	TREG1_45040.1
OG0005309	h1SMcT0020079.1, h1SMcT0020079.2, h1SMcT0020078.1, h1SMcT0020078.2	TREG1_54420.1
OG0005310	h1SMcT0020927.1	TREG1_18380.1
OG0005311	h1SMcT0002632.1, h1SMcT0002632.2	TREG1_114450.1
OG0005313	h1SMcT0020083.1	TREG1_32810.1, TREG1_32810.2, TREG1_32810.3
OG0005314	h1SMcT0007526.1	TREG1_24850.1
OG0005315	h1SMcT0008523.1, h1SMcT0008523.2, h1SMcT0005257.1, h1SMcT0022892.1	TREG1_77960.1
OG0005317	h1SMcT0006898.1, h1SMcT0006898.2	TREG1_87360.1
OG0005318	h1SMcT0003806.1	TREG1_46170.1
OG0005319	h1SMcT0018320.1	TREG1_90030.1
OG0005322	h1SMcT0012455.1	TREG1_124180.1
OG0005323	h1SMcT0017962.3	TREG1_48630.1
OG0005324	h1SMcT0005944.1	TREG1_45510.1, TREG1_45510.2, TREG1_45510.3, TREG1_45510.4, TREG1_45510.6, TREG1_45510.7, TREG1_45510.5
OG0005325	h1SMcT0003807.1, h1SMcT0003807.2	TREG1_51140.1
OG0005326	h1SMcT0013514.1, h1SMcT0021921.1, h1SMcT0021921.2	TREG1_19560.1
OG0005328	h1SMcT0017955.1	TREG1_86890.1
OG0005329	h1SMcT0011688.1	TREG1_9300.2, TREG1_9300.4, TREG1_9300.1, TREG1_9300.3, TREG1_9300.5
OG0005330	h1SMcT0020963.2, h1SMcT0020963.1, h1SMcT0020963.3	TREG1_111880.1, TREG1_111870.1
OG0005332	h1SMcT0016796.1, h1SMcT0016796.2	TREG1_125340.1
OG0005333	h1SMcT0017097.3, h1SMcT0017097.2, h1SMcT0017097.1	TREG1_26480.1, TREG1_23800.1, TREG1_23810.3, TREG1_23810.1, TREG1_23810.2
OG0005334	h1SMcT0003452.1	TREG1_25170.1
OG0005335	h1SMcT0018039.3, h1SMcT0018039.1, h1SMcT0018039.2	TREG1_104950.1
OG0005336	h1SMcT0014686.1, h1SMcT0014813.2, h1SMcT0014813.3	TREG1_7930.1
OG0005338	h1SMcT0019936.3, h1SMcT0019936.2, h1SMcT0019936.1	TREG1_67590.1
OG0005340	h1SMcT0001475.1	TREG1_123160.1, TREG1_123150.1
OG0005341	h1SMcT0013046.1	TREG1_20140.1, TREG1_20140.2
OG0005344	h1SMcT0003635.1	TREG1_105970.1
OG0005345	h1SMcT0020363.1, h1SMcT0022756.1	TREG1_43070.1
OG0005346	h1SMcT0019279.1, h1SMcT0019281.1	TREG1_18820.1
OG0005347	h1SMcT0020882.1	TREG1_140750.3, TREG1_140750.1, TREG1_89960.1, TREG1_140750.2
OG0005348	h1SMcT0008519.1	TREG1_6590.1
OG0005349	h1SMcT0000978.1	TREG1_15560.1, TREG1_15560.2
OG0005351	h1SMcT0004426.1	TREG1_72920.1, TREG1_72920.2
OG0005352	h1SMcT0009097.1	TREG1_106240.1, TREG1_106240.2, TREG1_106240.3, TREG1_8160.1
OG0005353	h1SMcT0019747.3, h1SMcT0019747.1, h1SMcT0019747.2	TREG1_134060.1
OG0005354	h1SMcT0020587.1	TREG1_36710.1
OG0005355	h1SMcT0005157.1	TREG1_45710.1
OG0005356	h1SMcT0007786.1	TREG1_90830.1
OG0005359	h1SMcT0008244.1, h1SMcT0008244.2	TREG1_21810.1
OG0005361	h1SMcT0015899.1	TREG1_139660.1
OG0005362	h1SMcT0005903.1	TREG1_91670.1
OG0005363	h1SMcT0013517.1	TREG1_18390.1
