Orthogroup	schmidtea_mediterranea	opisthorchis_viverrini
OG0005469	h1SMcT0013802.1, h1SMcT0013802.2	T265_07684
OG0005472	h1SMcT0008257.1	T265_04851
OG0005474	h1SMcT0001968.3, h1SMcT0001968.1, h1SMcT0001968.2	T265_16250
OG0005476	h1SMcT0006388.1	T265_03001
OG0005477	h1SMcT0003277.2, h1SMcT0003277.3, h1SMcT0003277.4	T265_11475
OG0005478	h1SMcT0020687.1	T265_00646
OG0005479	h1SMcT0011822.1	T265_02835
OG0005480	h1SMcT0005344.1	T265_01791
OG0005481	h1SMcT0016500.1	T265_14797
OG0005483	h1SMcT0009925.1	T265_11993
OG0005484	h1SMcT0004462.1, h1SMcT0004462.2, h1SMcT0004462.3	T265_11055
OG0005485	h1SMcT0014986.1, h1SMcT0014986.2	T265_12648
OG0005487	h1SMcT0014822.1	T265_05597, T265_13821
OG0005489	h1SMcT0016810.1	T265_10945
OG0005490	h1SMcT0006778.1	T265_07627
OG0005492	h1SMcT0006678.1	T265_06514
OG0005494	h1SMcT0011251.1	T265_13149
OG0005499	h1SMcT0021392.1	T265_03783
OG0005500	h1SMcT0012220.1	T265_00880, T265_15018
OG0005502	h1SMcT0005357.1	T265_09319
OG0005503	h1SMcT0013867.1, h1SMcT0013867.2	T265_05012
OG0005504	h1SMcT0000351.1, h1SMcT0018978.1	T265_15476
OG0005505	h1SMcT0006432.1	T265_15216
OG0005506	h1SMcT0017432.1, h1SMcT0017432.2, h1SMcT0017432.3	T265_01863
OG0005507	h1SMcT0004236.1	T265_03828
OG0005508	h1SMcT0006627.1, h1SMcT0010553.1	T265_05267
OG0005509	h1SMcT0016419.1	T265_15724
OG0005510	h1SMcT0021834.1, h1SMcT0021834.2	T265_04306
OG0005511	h1SMcT0018808.1, h1SMcT0018997.1	T265_01328
OG0005512	h1SMcT0021450.1, h1SMcT0021450.2	T265_09144
OG0005513	h1SMcT0022285.1, h1SMcT0022285.2, h1SMcT0022285.3	T265_03550
OG0005514	h1SMcT0015819.1	T265_10018
OG0005515	h1SMcT0004918.1	T265_11300
OG0005517	h1SMcT0002906.1	T265_08930
OG0005519	h1SMcT0019369.1, h1SMcT0019371.1	T265_14962, T265_16085
OG0005520	h1SMcT0007962.1	T265_06161
OG0005521	h1SMcT0004303.1	T265_03986
OG0005522	h1SMcT0022313.1	T265_15147
OG0005523	h1SMcT0019034.1, h1SMcT0019034.2	T265_13005, T265_16171
OG0005524	h1SMcT0011813.1	T265_10230
OG0005525	h1SMcT0005456.1, h1SMcT0005456.2	T265_08202
OG0005526	h1SMcT0016565.1	T265_08059
OG0005530	h1SMcT0002387.2	T265_08534
OG0005531	h1SMcT0015758.1, h1SMcT0022643.1	T265_01390
OG0005532	h1SMcT0013328.1	T265_14747
OG0005538	h1SMcT0010184.1, h1SMcT0010184.2	T265_00113
OG0005539	h1SMcT0012886.1	T265_13052
OG0005540	h1SMcT0012099.1, h1SMcT0012099.2	T265_08055
OG0005544	h1SMcT0020071.1, h1SMcT0020053.1, h1SMcT0020072.1, h1SMcT0020072.3, h1SMcT0020072.2	T265_02659
OG0005545	h1SMcT0017986.1, h1SMcT0017986.2	T265_06655, T265_06656
OG0005566	h1SMcT0018975.2, h1SMcT0018975.1, h1SMcT0018975.3	T265_05784
OG0005567	h1SMcT0016108.1	T265_05147
OG0005570	h1SMcT0005891.1, h1SMcT0005891.2	T265_13520
OG0005571	h1SMcT0002895.1, h1SMcT0002895.2	T265_00062
OG0005572	h1SMcT0013254.1	T265_15288
OG0005573	h1SMcT0001255.3, h1SMcT0001255.1, h1SMcT0001255.2	T265_11449
OG0005575	h1SMcT0017162.1, h1SMcT0019740.1, h1SMcT0021537.1, h1SMcT0010862.1	T265_03162
OG0005576	h1SMcT0004809.1, h1SMcT0004809.2, h1SMcT0004809.3	T265_08870
OG0005577	h1SMcT0002264.1, h1SMcT0002264.2	T265_02626
OG0005578	h1SMcT0008349.1	T265_05284, T265_01975, T265_05283
OG0005579	h1SMcT0001895.1, h1SMcT0001896.1	T265_04553
OG0005580	h1SMcT0014314.1	T265_12456
OG0005583	h1SMcT0003795.1, h1SMcT0005282.1, h1SMcT0005283.1	T265_08895
OG0005584	h1SMcT0006174.1	T265_02735
OG0005585	h1SMcT0014311.1, h1SMcT0014311.2, h1SMcT0014311.3	T265_13551
OG0005586	h1SMcT0020113.3	T265_04631
OG0005587	h1SMcT0016635.1, h1SMcT0016635.2	T265_08836
OG0005588	h1SMcT0020288.1, h1SMcT0020288.2, h1SMcT0020288.3, h1SMcT0018528.1, h1SMcT0018528.4, h1SMcT0018528.3, h1SMcT0018528.2	T265_06462
OG0005589	h1SMcT0013330.1, h1SMcT0013330.2	T265_10140
OG0005590	h1SMcT0013150.1	T265_02090
OG0005591	h1SMcT0013353.1, h1SMcT0013353.2	T265_11829
OG0005593	h1SMcT0001344.1	T265_02336
OG0005594	h1SMcT0011756.1	T265_00035
OG0005597	h1SMcT0015563.1	T265_13001
OG0005598	h1SMcT0010718.1	T265_00090
OG0005600	h1SMcT0009864.1	T265_01613, T265_02081, T265_01614
OG0005602	h1SMcT0011816.1, h1SMcT0011816.2	T265_05680
OG0005604	h1SMcT0011971.1	T265_14820
OG0005605	h1SMcT0017025.1, h1SMcT0013821.1, h1SMcT0013821.2, h1SMcT0013821.3	T265_00735
OG0005606	h1SMcT0019319.1	T265_01778, T265_01779
OG0005607	h1SMcT0000423.1	T265_08644
OG0005608	h1SMcT0014511.1, h1SMcT0014511.2	T265_14383
OG0005609	h1SMcT0010262.1	T265_15052
OG0005612	h1SMcT0018378.1	T265_02912, T265_11062
OG0005613	h1SMcT0019960.1	T265_08092
OG0005614	h1SMcT0020599.1	T265_10058
OG0005615	h1SMcT0003423.1	T265_01886
OG0005621	h1SMcT0012507.1, h1SMcT0012507.2	T265_06150
OG0005623	h1SMcT0010905.1	T265_09835, T265_12397
OG0005624	h1SMcT0020914.1	T265_00940
OG0005625	h1SMcT0016999.1, h1SMcT0016999.2	T265_04392, T265_04393
OG0005627	h1SMcT0001543.1, h1SMcT0001543.2	T265_10410
OG0005628	h1SMcT0008811.1, h1SMcT0001742.1, h1SMcT0019269.1, h1SMcT0017650.1	T265_09104
OG0005630	h1SMcT0006562.1	T265_15104
OG0005632	h1SMcT0018608.1, h1SMcT0018608.2, h1SMcT0018608.3	T265_10093
OG0005633	h1SMcT0008735.1, h1SMcT0018433.1	T265_04541
OG0005634	h1SMcT0020158.1, h1SMcT0020158.3, h1SMcT0020158.4	T265_13921
OG0005635	h1SMcT0002845.1, h1SMcT0021523.1	T265_00211
OG0005636	h1SMcT0003914.1, h1SMcT0013439.1	T265_06536
OG0005637	h1SMcT0011728.1	T265_11903
OG0005638	h1SMcT0014808.1	T265_02937
OG0005639	h1SMcT0000146.1, h1SMcT0000146.2, h1SMcT0000057.1, h1SMcT0008727.1, h1SMcT0000181.1, h1SMcT0000179.1	T265_05902
OG0005641	h1SMcT0018103.1, h1SMcT0018103.2	T265_00803
OG0005642	h1SMcT0014142.1	T265_05646
OG0005643	h1SMcT0004592.1	T265_06739
OG0005644	h1SMcT0021372.1	T265_02170
OG0005647	h1SMcT0015520.1	T265_12426
OG0005652	h1SMcT0022532.1, h1SMcT0021903.1, h1SMcT0022364.1, h1SMcT0004704.1, h1SMcT0022356.1	T265_09909
OG0005654	h1SMcT0022145.1	T265_04874, T265_13622
OG0005655	h1SMcT0018701.1, h1SMcT0018701.2	T265_04225
OG0005656	h1SMcT0019467.1	T265_04764
OG0005657	h1SMcT0014251.1	T265_12479, T265_00202
OG0005665	h1SMcT0010582.1	T265_02439
OG0005666	h1SMcT0007579.1	T265_04890
OG0005668	h1SMcT0010741.1, h1SMcT0010741.2, h1SMcT0010741.3	T265_04543
OG0005670	h1SMcT0002444.1, h1SMcT0002444.2	T265_15339
OG0005671	h1SMcT0020637.10	T265_00199
OG0005672	h1SMcT0001094.1, h1SMcT0001094.2	T265_00025
OG0005673	h1SMcT0020369.1, h1SMcT0020369.2	T265_00026
OG0005674	h1SMcT0003155.1, h1SMcT0022977.1, h1SMcT0003685.1, h1SMcT0003685.2	T265_14069
OG0005675	h1SMcT0010891.1, h1SMcT0010891.2	T265_14702
OG0005678	h1SMcT0002512.1, h1SMcT0002512.2, h1SMcT0002512.3	T265_08052
OG0005679	h1SMcT0002865.1, h1SMcT0002865.2, h1SMcT0002865.3	T265_05347
OG0005680	h1SMcT0005349.1, h1SMcT0005349.2, h1SMcT0005353.1, h1SMcT0005353.2, h1SMcT0005353.3	T265_02058
OG0005684	h1SMcT0000972.1, h1SMcT0022546.1	T265_13286
OG0005685	h1SMcT0007396.1	T265_04563
OG0005686	h1SMcT0012749.1	T265_02644
OG0005687	h1SMcT0007350.1	T265_07614
OG0005689	h1SMcT0021421.1	T265_12982
OG0005691	h1SMcT0016672.1, h1SMcT0005044.1, h1SMcT0005044.2	T265_14083
OG0005692	h1SMcT0004001.1	T265_03304
OG0005693	h1SMcT0015127.1	T265_09417
OG0005699	h1SMcT0014795.1	T265_05508
OG0005700	h1SMcT0010548.1, h1SMcT0010548.2	T265_08200
OG0005702	h1SMcT0011671.1	T265_06068, T265_13996
OG0005705	h1SMcT0000618.1, h1SMcT0007715.1	T265_13838
OG0005706	h1SMcT0003456.1	T265_04867
OG0005707	h1SMcT0002601.1, h1SMcT0002601.2	T265_09880
OG0005709	h1SMcT0020353.1, h1SMcT0014115.1, h1SMcT0012885.1, h1SMcT0010123.1	T265_10125
OG0005710	h1SMcT0011282.1, h1SMcT0001250.1, h1SMcT0013039.1	T265_14076, T265_14078, T265_00920
OG0005714	h1SMcT0007188.1, h1SMcT0007188.2	T265_07566
OG0005715	h1SMcT0007688.1	T265_02163
OG0005716	h1SMcT0005338.1	T265_00293
OG0005717	h1SMcT0011593.1, h1SMcT0011593.2, h1SMcT0011593.3, h1SMcT0002181.1, h1SMcT0016049.1, h1SMcT0016049.2	T265_01752
OG0005718	h1SMcT0014604.2, h1SMcT0014604.5	T265_10025
OG0005719	h1SMcT0003628.1, h1SMcT0003628.2	T265_04450
OG0005720	h1SMcT0000612.1, h1SMcT0018319.2	T265_14184
OG0005722	h1SMcT0014204.4, h1SMcT0014204.3, h1SMcT0014204.1, h1SMcT0014204.2	T265_10194
OG0005723	h1SMcT0001399.2, h1SMcT0001399.4	T265_04137
OG0005724	h1SMcT0014266.2, h1SMcT0014266.1, h1SMcT0014266.3	T265_01588
OG0005727	h1SMcT0000585.1, h1SMcT0007001.1	T265_05161
OG0005728	h1SMcT0004342.1, h1SMcT0004342.2	T265_04760
OG0005729	h1SMcT0017806.1	T265_08666
OG0005730	h1SMcT0014148.1	T265_13080
OG0005732	h1SMcT0021800.1	T265_10389, T265_16193
OG0005733	h1SMcT0003911.2	T265_05681
OG0005735	h1SMcT0000424.1	T265_11765
OG0005736	h1SMcT0020658.1	T265_12755
OG0005738	h1SMcT0006393.1, h1SMcT0006393.2	T265_11159, T265_16149
OG0005739	h1SMcT0018357.1	T265_01925
OG0005740	h1SMcT0009826.1, h1SMcT0012751.1	T265_13120
OG0005741	h1SMcT0012924.1, h1SMcT0012924.2	T265_04882
OG0005742	h1SMcT0020663.1, h1SMcT0020663.2	T265_13047
OG0005744	h1SMcT0004872.1	T265_10649
OG0005745	h1SMcT0021028.1, h1SMcT0018082.4, h1SMcT0018082.1, h1SMcT0018082.2, h1SMcT0018082.3, h1SMcT0018082.5	T265_03355
OG0005746	h1SMcT0020349.1, h1SMcT0020349.2	T265_02952
OG0005747	h1SMcT0000224.1	T265_04470, T265_08799
OG0005749	h1SMcT0011535.1	T265_00632
OG0005751	h1SMcT0012124.1, h1SMcT0012124.2	T265_07039
OG0005753	h1SMcT0013806.1	T265_05928, T265_00174, T265_02962
OG0005755	h1SMcT0002348.1	T265_13833
OG0005756	h1SMcT0002477.1	T265_09096
OG0005760	h1SMcT0000501.1	T265_13006
OG0005761	h1SMcT0007414.1	T265_05973
OG0005763	h1SMcT0004697.3, h1SMcT0004697.1, h1SMcT0004697.2	T265_14562
OG0005765	h1SMcT0003670.1	T265_02549
OG0005766	h1SMcT0020810.1, h1SMcT0005728.1, h1SMcT0009010.1	T265_07109
OG0005767	h1SMcT0016324.1, h1SMcT0016325.1	T265_05293
OG0005768	h1SMcT0011318.1, h1SMcT0011318.2	T265_15039
OG0005769	h1SMcT0013875.2, h1SMcT0016896.1, h1SMcT0016896.2	T265_04564
OG0005770	h1SMcT0004176.4, h1SMcT0004176.2, h1SMcT0004176.1, h1SMcT0004176.3, h1SMcT0018086.1	T265_08813
OG0005771	h1SMcT0012041.1	T265_02692
OG0005772	h1SMcT0003686.1	T265_11297
OG0005776	h1SMcT0012535.1, h1SMcT0021036.1	T265_05775
OG0005777	h1SMcT0011122.1, h1SMcT0011122.2	T265_05076
OG0005778	h1SMcT0008210.1, h1SMcT0008211.1	T265_11844
OG0005780	h1SMcT0001051.1	T265_14551
OG0005782	h1SMcT0013430.1	T265_14704
OG0005784	h1SMcT0014160.1	T265_07736
OG0005786	h1SMcT0004794.1	T265_04169
OG0005787	h1SMcT0006179.4, h1SMcT0006179.1, h1SMcT0006179.2, h1SMcT0006179.3	T265_00243
OG0005788	h1SMcT0003460.2, h1SMcT0003460.1, h1SMcT0003460.3	T265_03214, T265_13190
OG0005790	h1SMcT0013844.1	T265_09946
OG0005792	h1SMcT0014690.1	T265_05239
OG0005793	h1SMcT0003583.1, h1SMcT0003583.2, h1SMcT0003545.1, h1SMcT0003582.1	T265_09807
OG0005794	h1SMcT0004830.1	T265_07563
OG0005795	h1SMcT0014299.1	T265_08753
OG0005797	h1SMcT0011819.1	T265_04637
OG0005799	h1SMcT0010879.1, h1SMcT0010879.2	T265_03670
OG0005800	h1SMcT0011984.1	T265_07697
OG0005801	h1SMcT0013725.3, h1SMcT0013725.2, h1SMcT0013725.1	T265_02096, T265_02093
OG0005802	h1SMcT0014692.1	T265_02201
OG0005803	h1SMcT0002664.1, h1SMcT0015972.1	T265_00647
OG0005804	h1SMcT0009489.1, h1SMcT0009153.1, h1SMcT0011196.1, h1SMcT0014872.1, h1SMcT0013959.1, h1SMcT0008057.1, h1SMcT0007698.1	T265_05300
OG0005805	h1SMcT0013390.1	T265_11376
OG0005806	h1SMcT0001761.1, h1SMcT0001761.2	T265_01699
OG0005807	h1SMcT0003188.1	T265_10239
OG0005808	h1SMcT0019827.1, h1SMcT0020779.1	T265_02555
OG0005809	h1SMcT0010358.1	T265_10830
OG0005810	h1SMcT0009909.1	T265_03823
OG0005811	h1SMcT0013450.1	T265_03204
OG0005813	h1SMcT0019767.1	T265_13063
OG0005815	h1SMcT0006142.1, h1SMcT0006144.1	T265_00587
OG0005816	h1SMcT0014714.1, h1SMcT0014714.2, h1SMcT0001816.1, h1SMcT0001816.2, h1SMcT0001816.3	T265_06483
OG0005818	h1SMcT0001812.1	T265_13477
OG0005819	h1SMcT0021644.1	T265_07650
OG0005821	h1SMcT0010938.1, h1SMcT0010938.2	T265_15489
OG0005822	h1SMcT0006506.1, h1SMcT0006506.2	T265_10836, T265_15798
OG0005823	h1SMcT0010789.1	T265_03645
OG0005824	h1SMcT0020815.1, h1SMcT0020815.2	T265_13768
OG0005825	h1SMcT0020562.1	T265_09263
OG0005826	h1SMcT0022228.1, h1SMcT0022228.2	T265_15546, T265_15547
OG0005827	h1SMcT0017674.1	T265_00477
OG0005829	h1SMcT0007799.1, h1SMcT0017814.3	T265_07019
OG0005830	h1SMcT0019158.1	T265_02338
OG0005832	h1SMcT0017441.1	T265_03487
OG0005835	h1SMcT0018399.1	T265_02951, T265_02950, T265_12725
OG0005836	h1SMcT0003735.1, h1SMcT0003735.3, h1SMcT0003735.2	T265_01708
OG0005837	h1SMcT0001627.1	T265_01193
OG0005839	h1SMcT0009879.1	T265_06242
OG0005840	h1SMcT0022113.1	T265_11601
OG0005841	h1SMcT0017272.4, h1SMcT0017272.2, h1SMcT0017272.1, h1SMcT0017272.3	T265_08033
OG0005842	h1SMcT0004928.1, h1SMcT0004928.2, h1SMcT0015646.1	T265_03836, T265_15281
OG0005843	h1SMcT0022531.1, h1SMcT0022531.2	T265_10763
OG0005844	h1SMcT0005287.2, h1SMcT0005287.1, h1SMcT0005287.3	T265_14602
OG0005846	h1SMcT0010384.1	T265_07312
OG0005847	h1SMcT0018630.1	T265_13750
OG0005851	h1SMcT0000856.1	T265_13104
OG0005852	h1SMcT0014909.1, h1SMcT0014909.2	T265_08633
OG0005854	h1SMcT0003160.1, h1SMcT0003160.2	T265_13860
OG0005859	h1SMcT0021056.1	T265_08046
OG0005862	h1SMcT0009504.1	T265_05077
OG0005863	h1SMcT0011326.1, h1SMcT0011326.2	T265_12761
OG0005866	h1SMcT0012286.1	T265_01265
OG0005868	h1SMcT0016530.1	T265_15212
OG0005869	h1SMcT0010477.1, h1SMcT0010477.5, h1SMcT0010477.2, h1SMcT0010477.6	T265_02080
OG0005895	h1SMcT0015712.1	T265_02067, T265_12917
OG0005896	h1SMcT0004124.1	T265_11094
OG0005897	h1SMcT0005525.3	T265_03568
OG0005897	h1SMcT0010289.1	T265_07974
OG0005898	h1SMcT0010493.1	T265_12230
OG0005899	h1SMcT0015708.1	T265_04845
OG0005901	h1SMcT0002620.1, h1SMcT0002620.2, h1SMcT0004190.1, h1SMcT0004190.2, h1SMcT0007490.1, h1SMcT0007493.1	T265_00638
OG0005902	h1SMcT0000287.1, h1SMcT0008308.1, h1SMcT0012074.1	T265_00941, T265_02464
OG0005904	h1SMcT0015908.1, h1SMcT0015908.2	T265_11372
OG0005905	h1SMcT0021906.1, h1SMcT0013631.1, h1SMcT0014639.1	T265_03164
OG0005907	h1SMcT0006387.1	T265_15495
OG0005909	h1SMcT0000767.1	T265_06412, T265_11442
OG0005911	h1SMcT0001983.1	T265_04810
OG0005912	h1SMcT0019597.3, h1SMcT0019597.2, h1SMcT0019597.4	T265_04624
OG0005913	h1SMcT0015201.1	T265_10498
OG0005915	h1SMcT0017953.1, h1SMcT0017953.2	T265_08170
OG0005916	h1SMcT0000073.1	T265_06691
OG0005917	h1SMcT0014192.1, h1SMcT0014192.2	T265_15562
OG0005918	h1SMcT0001215.1, h1SMcT0018438.1	T265_08551
OG0005919	h1SMcT0005320.1, h1SMcT0023052.1, h1SMcT0016676.1, h1SMcT0015385.1	T265_11164, T265_11165
OG0005920	h1SMcT0022083.1, h1SMcT0022083.2, h1SMcT0022083.3, h1SMcT0022083.4	T265_00251
OG0005921	h1SMcT0019505.1, h1SMcT0000665.1, h1SMcT0000681.1, h1SMcT0000683.1	T265_00660
OG0005922	h1SMcT0014288.1	T265_03683
OG0005923	h1SMcT0015564.1	T265_09100
OG0005924	h1SMcT0010190.1	T265_11578, T265_15466
OG0005925	h1SMcT0001309.1	T265_01965
OG0005926	h1SMcT0016025.1, h1SMcT0016025.2	T265_06075
OG0005928	h1SMcT0007789.1, h1SMcT0007789.2	T265_03910
OG0005929	h1SMcT0019443.1	T265_14813
OG0005930	h1SMcT0008648.1, h1SMcT0008648.2, h1SMcT0008648.3, h1SMcT0008648.4, h1SMcT0008648.5	T265_01780
OG0005931	h1SMcT0018674.1, h1SMcT0018674.2	T265_00432
OG0005932	h1SMcT0007924.1, h1SMcT0022998.1	T265_15964, T265_08949
OG0005934	h1SMcT0017579.1, h1SMcT0017584.1	T265_13965
OG0005935	h1SMcT0000888.1	T265_11727
OG0005937	h1SMcT0007865.1	T265_07301
OG0005938	h1SMcT0003887.1	T265_12945
OG0005939	h1SMcT0016602.1	T265_01335
OG0005944	h1SMcT0007787.1, h1SMcT0007787.2, h1SMcT0007787.3	T265_11797
OG0005945	h1SMcT0001871.1, h1SMcT0008203.1	T265_03036
OG0005946	h1SMcT0006508.1	T265_10157
OG0005947	h1SMcT0007165.1	T265_09064
OG0005948	h1SMcT0009488.1	T265_03363, T265_07624
OG0005950	h1SMcT0002589.1, h1SMcT0002589.2, h1SMcT0002589.3	T265_12502
OG0005952	h1SMcT0003211.1, h1SMcT0003211.2	T265_10288
OG0005953	h1SMcT0018677.1	T265_10746
OG0005955	h1SMcT0011025.1, h1SMcT0012035.1	T265_07740
OG0005956	h1SMcT0012891.1, h1SMcT0004785.1, h1SMcT0022632.1, h1SMcT0014171.1	T265_04335
OG0005957	h1SMcT0017506.1, h1SMcT0020789.1	T265_08557
OG0005958	h1SMcT0000203.2, h1SMcT0019948.1	T265_06746
OG0005959	h1SMcT0021569.1	T265_05366
OG0005960	h1SMcT0003770.1	T265_05528
OG0005961	h1SMcT0008001.1, h1SMcT0008001.3, h1SMcT0008001.2	T265_14951
OG0005962	h1SMcT0015238.1, h1SMcT0016689.1	T265_06637
OG0005965	h1SMcT0020811.1	T265_02267
OG0005966	h1SMcT0006401.1, h1SMcT0018336.1, h1SMcT0018336.2	T265_10363
OG0005970	h1SMcT0003179.1, h1SMcT0003179.2, h1SMcT0003179.3	T265_00871
OG0005973	h1SMcT0002395.1, h1SMcT0002395.2	T265_06386
OG0005974	h1SMcT0016503.1, h1SMcT0016503.2, h1SMcT0016503.3	T265_06188
OG0005975	h1SMcT0001768.1	T265_14775
OG0005976	h1SMcT0011307.1	T265_13880
OG0005976	h1SMcT0004685.1	T265_14316
OG0005978	h1SMcT0011015.1	T265_13761
OG0005979	h1SMcT0008398.1	T265_05569
OG0005979	h1SMcT0012521.1, h1SMcT0005875.1	T265_05419
OG0005980	h1SMcT0006051.1, h1SMcT0014719.1	T265_05285
OG0005981	h1SMcT0009310.1, h1SMcT0009310.3, h1SMcT0009310.2	T265_15772
OG0005982	h1SMcT0013415.1	T265_00605, T265_00606
OG0005983	h1SMcT0021475.1, h1SMcT0022726.1	T265_07434
OG0005984	h1SMcT0000237.1, h1SMcT0005855.1	T265_00666
OG0005985	h1SMcT0021040.1, h1SMcT0021053.1	T265_08574
OG0005988	h1SMcT0007460.1, h1SMcT0023003.1	T265_15461
OG0005989	h1SMcT0019030.1	T265_14833
OG0005990	h1SMcT0008326.1	T265_00349
OG0005991	h1SMcT0019618.1, h1SMcT0019618.2, h1SMcT0019618.3	T265_14289
OG0005992	h1SMcT0000017.1	T265_03305
OG0005994	h1SMcT0015854.1, h1SMcT0000238.1, h1SMcT0010381.1, h1SMcT0014033.1, h1SMcT0005533.1	T265_01234
OG0005995	h1SMcT0005075.1, h1SMcT0005075.2, h1SMcT0005075.3	T265_00455
OG0005996	h1SMcT0003230.1, h1SMcT0003230.2	T265_00840
OG0005998	h1SMcT0001034.1	T265_03564
OG0006000	h1SMcT0003105.1, h1SMcT0003106.1, h1SMcT0003106.2	T265_08532
OG0006001	h1SMcT0014422.1	T265_07451
OG0006003	h1SMcT0021587.4, h1SMcT0021587.6, h1SMcT0021587.5	T265_12071, T265_04787
OG0006004	h1SMcT0012445.1	T265_13739
OG0006006	h1SMcT0002597.1, h1SMcT0001409.1, h1SMcT0001409.2, h1SMcT0017142.1, h1SMcT0017142.2	T265_02947
OG0006007	h1SMcT0012781.1	T265_13795
OG0006008	h1SMcT0013369.1, h1SMcT0013369.2	T265_00318
OG0006010	h1SMcT0006350.1, h1SMcT0013021.1	T265_01682
OG0006011	h1SMcT0022111.1	T265_00506
OG0006012	h1SMcT0018228.1	T265_08137
OG0006013	h1SMcT0004468.1	T265_15196
OG0006014	h1SMcT0011959.1, h1SMcT0013361.1	T265_02209
OG0006015	h1SMcT0005459.1	T265_01224
OG0006016	h1SMcT0006302.1	T265_00151
OG0006018	h1SMcT0007783.1	T265_05377
OG0006019	h1SMcT0006646.1	T265_07921, T265_12602
OG0006022	h1SMcT0002665.1, h1SMcT0015971.1	T265_02028
OG0006023	h1SMcT0009304.1, h1SMcT0009304.2	T265_00867
OG0006024	h1SMcT0012046.1, h1SMcT0012046.2	T265_12539
OG0006026	h1SMcT0014693.1	T265_09387
OG0006027	h1SMcT0011220.1, h1SMcT0011220.2	T265_02114
OG0006029	h1SMcT0017802.1, h1SMcT0017802.2	T265_03845
OG0006030	h1SMcT0002188.1, h1SMcT0002190.1	T265_07048, T265_16154
OG0006032	h1SMcT0016985.1, h1SMcT0019984.1, h1SMcT0020012.1	T265_14178
OG0006033	h1SMcT0009561.1	T265_09128
OG0006035	h1SMcT0021732.1	T265_01354
OG0006037	h1SMcT0010552.1, h1SMcT0010552.2	T265_11799
OG0006038	h1SMcT0002926.2, h1SMcT0002926.3, h1SMcT0002926.1, h1SMcT0002926.4	T265_01505
OG0006040	h1SMcT0009771.1	T265_08498
OG0006044	h1SMcT0004786.1, h1SMcT0004558.1, h1SMcT0004558.2	T265_10305
OG0006046	h1SMcT0015753.1, h1SMcT0015753.2	T265_08037
OG0006047	h1SMcT0004082.1	T265_05746
OG0006048	h1SMcT0009241.1	T265_14751
OG0006049	h1SMcT0020670.1, h1SMcT0020670.2, h1SMcT0020671.1, h1SMcT0020671.2, h1SMcT0020677.1	T265_06032
OG0006050	h1SMcT0007701.1	T265_01164
OG0006051	h1SMcT0004623.1	T265_13008
OG0006052	h1SMcT0005345.1, h1SMcT0006920.1	T265_01643, T265_12947
OG0006054	h1SMcT0001601.1	T265_14672
OG0006055	h1SMcT0006729.1	T265_01190
OG0006058	h1SMcT0007352.1, h1SMcT0013825.1	T265_01441
OG0006059	h1SMcT0008150.1, h1SMcT0008150.2	T265_04869
OG0006060	h1SMcT0005866.1	T265_13511
OG0006061	h1SMcT0022627.1, h1SMcT0022627.2	T265_01621
OG0006063	h1SMcT0000832.1, h1SMcT0000832.2, h1SMcT0000832.3, h1SMcT0001594.1, h1SMcT0022005.1	T265_09923
OG0006065	h1SMcT0020948.1, h1SMcT0020948.2	T265_13797
OG0006066	h1SMcT0011563.1, h1SMcT0011563.2	T265_07753
OG0006067	h1SMcT0007864.1	T265_01485
OG0006068	h1SMcT0018769.1	T265_12800
OG0006070	h1SMcT0010140.4, h1SMcT0010140.1, h1SMcT0010140.2, h1SMcT0010140.3	T265_15112
OG0006071	h1SMcT0018476.1, h1SMcT0018476.2	T265_02929
OG0006072	h1SMcT0018109.1, h1SMcT0018109.2	T265_10623
OG0006073	h1SMcT0004153.1, h1SMcT0004153.2	T265_06995
OG0006074	h1SMcT0003028.1, h1SMcT0003028.4, h1SMcT0003028.2, h1SMcT0003028.3	T265_07348
OG0006075	h1SMcT0015389.1	T265_11346
OG0006076	h1SMcT0011051.1, h1SMcT0011051.2	T265_00294
OG0006080	h1SMcT0010653.1	T265_13358
OG0006081	h1SMcT0017984.1, h1SMcT0017984.2	T265_09866
OG0006082	h1SMcT0005424.1, h1SMcT0005424.2	T265_07611
OG0006085	h1SMcT0015632.1	T265_04853
OG0006090	h1SMcT0011826.1, h1SMcT0011826.2, h1SMcT0011826.3	T265_13855
OG0006091	h1SMcT0010468.1, h1SMcT0010468.2, h1SMcT0010468.3	T265_12290, T265_15429
OG0006092	h1SMcT0006253.3, h1SMcT0006253.4, h1SMcT0006253.1, h1SMcT0006253.2	T265_01843
OG0006093	h1SMcT0022211.1	T265_01206
OG0006095	h1SMcT0010472.1, h1SMcT0005380.1, h1SMcT0005381.1	T265_07126
OG0006096	h1SMcT0014139.1	T265_06953
OG0006097	h1SMcT0015715.1, h1SMcT0015720.1	T265_07749
OG0006098	h1SMcT0002090.1, h1SMcT0004959.1	T265_10302
OG0006099	h1SMcT0001832.1, h1SMcT0001832.2	T265_13774
OG0006100	h1SMcT0009745.1, h1SMcT0009745.2	T265_00893
OG0006101	h1SMcT0003800.1	T265_06530
OG0006102	h1SMcT0022053.1	T265_03871
OG0006103	h1SMcT0001722.1, h1SMcT0001722.2	T265_08234
OG0006104	h1SMcT0000919.1	T265_07156
OG0006105	h1SMcT0004398.1	T265_02379
OG0006107	h1SMcT0011072.1, h1SMcT0011072.2, h1SMcT0011072.3	T265_04785
