Orthogroup	schistosoma_turkestanicum	schistosoma_curassoni
OG0004537	STRK1_14570.1	SCUR1_16510.1
OG0004538	STRK1_66510.1, STRK1_98310.1, STRK1_66520.1, STRK1_98300.1	SCUR1_67960.1
OG0004539	STRK1_13070.1	SCUR1_7750.1
OG0004540	STRK1_22950.1, STRK1_22950.2	SCUR1_25090.1
OG0004541	STRK1_78290.1	SCUR1_79770.1, SCUR1_79770.2
OG0004542	STRK1_16890.1, STRK1_16890.2	SCUR1_3310.1
OG0004544	STRK1_66580.1	SCUR1_68020.1
OG0004545	STRK1_86460.1	SCUR1_88290.1, SCUR1_88290.2
OG0004546	STRK1_74680.1	SCUR1_76960.1
OG0004547	STRK1_70740.1	SCUR1_97120.2, SCUR1_97120.1, SCUR1_97120.3, SCUR1_97120.4
OG0004548	STRK1_28630.1	SCUR1_38960.1
OG0004549	STRK1_10840.1	SCUR1_11530.1, SCUR1_11530.2
OG0004550	STRK1_68800.1	SCUR1_70160.1, SCUR1_70160.3, SCUR1_70160.4, SCUR1_70160.2, SCUR1_70160.5
OG0004551	STRK1_42940.1	SCUR1_99510.1, SCUR1_99510.2, SCUR1_99510.3, SCUR1_99500.1
OG0004552	STRK1_16510.1, STRK1_16510.2, STRK1_16510.3	SCUR1_3670.1
OG0004553	STRK1_37530.1	SCUR1_42640.1
OG0004554	STRK1_26970.1	SCUR1_28400.1
OG0004555	STRK1_1410.1	SCUR1_2110.1, SCUR1_2110.3, SCUR1_2110.2
OG0004557	STRK1_12660.1	SCUR1_8210.1, SCUR1_8210.2, SCUR1_8210.3
OG0004559	STRK1_24880.1	SCUR1_24160.1
OG0004560	STRK1_75630.1, STRK1_75630.2, STRK1_75630.3	SCUR1_73550.1
OG0004561	STRK1_60250.1	SCUR1_60900.1
OG0004562	STRK1_18630.1	SCUR1_20850.1
OG0004563	STRK1_73660.1	SCUR1_73770.1
OG0004564	STRK1_89020.1	SCUR1_90370.1
OG0004565	STRK1_82700.1	SCUR1_84330.1
OG0004566	STRK1_41950.1	SCUR1_41800.1
OG0004567	STRK1_32420.1	SCUR1_31250.1
OG0004568	STRK1_27030.1	SCUR1_28450.1
OG0004569	STRK1_5210.1	SCUR1_14520.1
OG0004570	STRK1_50610.1, STRK1_50610.2	SCUR1_48680.1
OG0004571	STRK1_51630.1	SCUR1_53760.1
OG0004572	STRK1_79390.1	SCUR1_80090.1, SCUR1_80090.2
OG0004573	STRK1_71970.1	SCUR1_74470.1
OG0004574	STRK1_102910.1, STRK1_20030.1	SCUR1_21960.1
OG0004575	STRK1_42500.1, STRK1_42510.1, STRK1_42520.2, STRK1_42520.3, STRK1_42520.4, STRK1_42520.1	SCUR1_44800.1
OG0004576	STRK1_96330.1, STRK1_98270.1, STRK1_102700.1	SCUR1_23130.1
OG0004577	STRK1_70970.1	SCUR1_76260.3, SCUR1_76260.1, SCUR1_76260.2
OG0004578	STRK1_19610.1, STRK1_19630.1, STRK1_19620.1, STRK1_19640.1	SCUR1_19870.4, SCUR1_19870.1, SCUR1_19870.2, SCUR1_19870.3
OG0004579	STRK1_59080.1	SCUR1_97200.2, SCUR1_97200.3, SCUR1_97200.1
OG0004580	STRK1_35580.1, STRK1_35580.2, STRK1_35580.3	SCUR1_34790.1
OG0004581	STRK1_42610.1, STRK1_42610.2	SCUR1_44530.1
OG0004582	STRK1_61510.1, STRK1_61510.2, STRK1_61510.3, STRK1_61510.4	SCUR1_60250.1
OG0004583	STRK1_34460.1, STRK1_34460.2, STRK1_34460.3, STRK1_34460.4, STRK1_34460.5	SCUR1_33310.1
OG0004584	STRK1_73490.1	SCUR1_75110.1
OG0004585	STRK1_20670.1	SCUR1_22200.1
OG0004586	STRK1_2350.1	SCUR1_18480.1
OG0004587	STRK1_70680.1	SCUR1_72110.1
OG0004588	STRK1_72830.1	SCUR1_75930.1
OG0004590	STRK1_98280.1	SCUR1_92490.2, SCUR1_92490.1, SCUR1_92490.3
OG0004591	STRK1_10480.1, STRK1_10490.1	SCUR1_11140.1, SCUR1_11140.2
OG0004592	STRK1_108980.1, STRK1_82460.1	SCUR1_84110.1
OG0004593	STRK1_25240.1	SCUR1_27510.1, SCUR1_27510.2, SCUR1_27510.3
OG0004594	STRK1_75890.1, STRK1_75890.2	SCUR1_75360.1
OG0004595	STRK1_19200.1	SCUR1_20340.1
OG0004596	STRK1_59290.1	SCUR1_62620.1
OG0004597	STRK1_48950.1, STRK1_48950.2	SCUR1_50290.1
OG0004598	STRK1_34090.1	SCUR1_32900.1, SCUR1_32900.2
OG0004599	STRK1_10890.1	SCUR1_11580.1, SCUR1_11580.2
OG0004600	STRK1_39970.1, STRK1_39950.1, STRK1_39960.1	SCUR1_44140.1
OG0004601	STRK1_17320.1	SCUR1_2660.1, SCUR1_2650.1
OG0004602	STRK1_39720.1	SCUR1_41760.1
OG0004603	STRK1_44670.1	SCUR1_46780.1, SCUR1_46780.2
OG0004604	STRK1_107170.1, STRK1_20230.1	SCUR1_22010.1
OG0004605	STRK1_36830.1	SCUR1_29120.1
OG0004606	STRK1_12000.1, STRK1_12000.2	SCUR1_8910.1, SCUR1_8900.1
OG0004608	STRK1_8040.1	SCUR1_12790.1
OG0004609	STRK1_25980.1, STRK1_25980.2, STRK1_25980.4, STRK1_25980.3	SCUR1_26820.1
OG0004610	STRK1_68190.1, STRK1_68190.2, STRK1_68190.3	SCUR1_69430.1, SCUR1_69430.2, SCUR1_69430.3
OG0004611	STRK1_61270.1	SCUR1_61980.1
OG0004612	STRK1_67160.1, STRK1_110820.1	SCUR1_68490.1
OG0004613	STRK1_89170.1, STRK1_89170.2	SCUR1_90530.1, SCUR1_99380.1
OG0004614	STRK1_77610.1	SCUR1_78350.2, SCUR1_78350.1
OG0004615	STRK1_780.1	SCUR1_1310.1
OG0004616	STRK1_51020.1	SCUR1_48360.1, SCUR1_48360.2, SCUR1_48360.3
OG0004617	STRK1_80320.1	SCUR1_81660.1
OG0004618	STRK1_6090.1, STRK1_6090.2	SCUR1_6510.1
OG0004619	STRK1_41020.1, STRK1_103230.1, STRK1_103230.2	SCUR1_42990.1, SCUR1_42990.2
OG0004620	STRK1_24320.1	SCUR1_28130.1
OG0004621	STRK1_90710.1, STRK1_90710.2	SCUR1_94930.1
OG0004623	STRK1_28860.1	SCUR1_38720.1
OG0004624	STRK1_37210.1	SCUR1_42300.1
OG0004625	STRK1_64900.1, STRK1_64900.2	SCUR1_66670.1, SCUR1_66670.2
OG0004627	STRK1_38900.1	SCUR1_40920.1
OG0004628	STRK1_30470.1, STRK1_30470.2, STRK1_30470.3	SCUR1_35350.1
OG0004629	STRK1_86790.1	SCUR1_88640.1, SCUR1_88640.2
OG0004630	STRK1_94350.1, STRK1_94350.2	SCUR1_92030.1
OG0004631	STRK1_64150.1	SCUR1_63210.1, SCUR1_63210.3, SCUR1_63210.4, SCUR1_63210.2
OG0004632	STRK1_63430.1, STRK1_63430.2	SCUR1_65460.1
OG0004633	STRK1_99870.1, STRK1_99390.1	SCUR1_15540.1
OG0004634	STRK1_85260.1	SCUR1_87650.1
OG0004635	STRK1_45740.1	SCUR1_47780.1, SCUR1_47780.2
OG0004636	STRK1_11930.1	SCUR1_13300.1, SCUR1_13300.5, SCUR1_13300.3, SCUR1_13300.2, SCUR1_13300.4
OG0004637	STRK1_79670.1	SCUR1_95140.1
OG0004638	STRK1_9720.1	SCUR1_10380.1
OG0004639	STRK1_82040.1	SCUR1_83880.1, SCUR1_83880.2
OG0004640	STRK1_25760.1, STRK1_25760.2	SCUR1_27000.1, SCUR1_26990.1
OG0004641	STRK1_52370.1, STRK1_52370.2	SCUR1_51030.1
OG0004642	STRK1_44690.1, STRK1_44720.2, STRK1_44720.1	SCUR1_46760.1, SCUR1_46760.2
OG0004643	STRK1_9740.1, STRK1_9740.2, STRK1_9740.3	SCUR1_10340.1
OG0004644	STRK1_62000.1	SCUR1_64700.1, SCUR1_64700.2
OG0004645	STRK1_88010.1, STRK1_88010.2	SCUR1_86880.1, SCUR1_86880.2, SCUR1_86880.3
OG0004646	STRK1_71940.1	SCUR1_74440.1
OG0004647	STRK1_7980.1	SCUR1_12730.1, SCUR1_12730.2
OG0004648	STRK1_52170.1	SCUR1_50830.1, SCUR1_50830.2
OG0004649	STRK1_27590.1, STRK1_27590.2, STRK1_27590.3	SCUR1_34190.1, SCUR1_34190.2
OG0004650	STRK1_24660.1	SCUR1_23940.1, SCUR1_23940.2, SCUR1_23940.3, SCUR1_23940.4
OG0004651	STRK1_97080.1, STRK1_97080.3, STRK1_97080.2	SCUR1_11460.1
OG0004652	STRK1_79270.1	SCUR1_57240.1
OG0004653	STRK1_85550.1, STRK1_85530.1	SCUR1_87370.1, SCUR1_87370.2, SCUR1_87370.3
OG0004654	STRK1_77190.1, STRK1_77190.2	SCUR1_78710.1
OG0004655	STRK1_19050.1	SCUR1_20470.1, SCUR1_20470.2, SCUR1_98660.1, SCUR1_98660.2, SCUR1_20470.3, SCUR1_98660.3
OG0004656	STRK1_93710.1	SCUR1_91490.1
OG0004658	STRK1_110320.1, STRK1_110320.2	SCUR1_7300.1
OG0004659	STRK1_13930.1	SCUR1_17210.1
OG0004660	STRK1_10100.1	SCUR1_10780.1
OG0004661	STRK1_12890.1, STRK1_12890.2	SCUR1_7930.1, SCUR1_7940.1
OG0004662	STRK1_39140.1, STRK1_39140.2	SCUR1_41140.1, SCUR1_41150.1
OG0004663	STRK1_85290.1	SCUR1_87520.7, SCUR1_87620.1, SCUR1_87520.8
OG0004664	STRK1_47470.2	SCUR1_100860.1, SCUR1_53140.1
OG0004665	STRK1_69970.1	SCUR1_71390.1
OG0004668	STRK1_53960.1	SCUR1_55710.1, SCUR1_55740.1, SCUR1_55760.1, SCUR1_55750.1
OG0004669	STRK1_16130.1	SCUR1_4080.1, SCUR1_4080.2
OG0004670	STRK1_88510.1, STRK1_88520.1, STRK1_88520.2, STRK1_88520.3	SCUR1_88230.1
OG0004671	STRK1_50290.1, STRK1_50290.2, STRK1_50290.3	SCUR1_48990.1, SCUR1_48950.1, SCUR1_49000.1
OG0004672	STRK1_44500.1	SCUR1_46580.2, SCUR1_46580.1, SCUR1_46580.3
OG0004674	STRK1_32400.1	SCUR1_31260.1
OG0004675	STRK1_29420.1	SCUR1_30540.3, SCUR1_30540.5, SCUR1_30540.6, SCUR1_30540.1, SCUR1_30540.2, SCUR1_30540.4
OG0004676	STRK1_28200.1, STRK1_28200.2	SCUR1_37030.1
OG0004677	STRK1_42790.1	SCUR1_44720.3, SCUR1_44720.1, SCUR1_44720.2
OG0004678	STRK1_13960.1	SCUR1_17180.4, SCUR1_17180.2, SCUR1_17180.1, SCUR1_17180.3
OG0004679	STRK1_18350.1, STRK1_98960.1, STRK1_19580.1	SCUR1_21130.1
OG0004680	STRK1_78470.1, STRK1_78480.1	SCUR1_80960.1
OG0004681	STRK1_87140.1	SCUR1_89930.1, SCUR1_89900.1, SCUR1_89910.1
OG0004687	STRK1_44360.1, STRK1_95540.1	SCUR1_46270.1, SCUR1_46270.2
OG0004688	STRK1_93320.1	SCUR1_93830.3, SCUR1_93830.1, SCUR1_93830.2
OG0004689	STRK1_94410.1	SCUR1_91970.1
OG0004691	STRK1_91830.1	SCUR1_92140.1
OG0004692	STRK1_8470.1	SCUR1_13230.1
OG0004693	STRK1_86850.1	SCUR1_88680.1
OG0004694	STRK1_5490.1, STRK1_5490.2	SCUR1_11900.1
OG0004695	STRK1_52530.1	SCUR1_51150.1
OG0004696	STRK1_77880.1	SCUR1_79830.1
OG0004697	STRK1_73010.1	SCUR1_75730.1, SCUR1_75730.2
OG0004698	STRK1_30340.1	SCUR1_29620.1, SCUR1_29620.2
OG0004699	STRK1_76880.1	SCUR1_79110.1
OG0004700	STRK1_89700.1, STRK1_89690.1, STRK1_89700.2, STRK1_89700.3, STRK1_89700.4	SCUR1_91020.1
OG0004701	STRK1_27280.1	SCUR1_28710.1
OG0004702	STRK1_27790.1	SCUR1_32520.1
OG0004703	STRK1_5750.1, STRK1_5750.2, STRK1_5760.1	SCUR1_6210.1
OG0004704	STRK1_71490.1	SCUR1_72570.1
OG0004705	STRK1_57940.1	SCUR1_59670.1
OG0004706	STRK1_59970.1	SCUR1_60570.1
OG0004707	STRK1_21830.1	SCUR1_23080.1, SCUR1_23080.2
OG0004708	STRK1_110520.1, STRK1_90620.1	SCUR1_94590.1, SCUR1_94590.2
OG0004709	STRK1_87800.1	SCUR1_87050.1, SCUR1_87050.2
OG0004710	STRK1_33390.1	SCUR1_37860.2, SCUR1_37860.1
OG0004711	STRK1_92130.1	SCUR1_92440.1, SCUR1_92440.3, SCUR1_92440.2, SCUR1_92440.4
OG0004712	STRK1_60670.1	SCUR1_61360.1
OG0004713	STRK1_7970.1	SCUR1_12720.1
OG0004714	STRK1_87630.1, STRK1_87630.2	SCUR1_87130.1
OG0004715	STRK1_86950.1	SCUR1_90090.1, SCUR1_97890.1, SCUR1_97890.2
OG0004716	STRK1_59920.1	SCUR1_60520.1
OG0004717	STRK1_87720.1	SCUR1_87240.1
OG0004718	STRK1_35860.1	SCUR1_35060.1
OG0004719	STRK1_74640.1	SCUR1_76890.1
OG0004720	STRK1_61220.1	SCUR1_67040.5, SCUR1_67040.6, SCUR1_67040.7, SCUR1_67150.1, SCUR1_67040.3, SCUR1_67040.1, SCUR1_67040.2, SCUR1_67040.4
OG0004721	STRK1_66280.1	SCUR1_67740.1
OG0004722	STRK1_110940.1, STRK1_45230.1	SCUR1_47290.2, SCUR1_47290.1, SCUR1_47290.3
OG0004723	STRK1_42310.1	SCUR1_45390.2, SCUR1_45390.1, SCUR1_45390.3
OG0004724	STRK1_37540.1	SCUR1_42650.1
OG0004725	STRK1_93030.1, STRK1_93030.2	SCUR1_94070.1
OG0004726	STRK1_68430.1	SCUR1_69720.1
OG0004727	STRK1_71540.1	SCUR1_72540.1
OG0004728	STRK1_80700.1	SCUR1_82120.1
OG0004729	STRK1_12900.1	SCUR1_7920.1
OG0004730	STRK1_87760.1	SCUR1_87100.1
OG0004731	STRK1_19340.1	SCUR1_20060.1
OG0004732	STRK1_12250.1, STRK1_12250.2	SCUR1_8620.1
OG0004733	STRK1_66150.1	SCUR1_67240.3, SCUR1_67240.1, SCUR1_67240.2
OG0004734	STRK1_43080.1	SCUR1_45260.1
OG0004735	STRK1_19150.1, STRK1_19140.1	SCUR1_20560.1
OG0004736	STRK1_75130.1	SCUR1_73050.1
OG0004737	STRK1_6060.1, STRK1_6060.2	SCUR1_6540.1
OG0004738	STRK1_16380.1	SCUR1_3800.1, SCUR1_3800.2
OG0004739	STRK1_44030.1	SCUR1_46210.1, SCUR1_46210.2
OG0004740	STRK1_52850.1, STRK1_52850.2, STRK1_52890.1, STRK1_52910.1, STRK1_52900.1	SCUR1_55650.1
OG0004741	STRK1_72420.1	SCUR1_77600.1
OG0004742	STRK1_84190.1, STRK1_84180.1, STRK1_84200.1, STRK1_103460.1	SCUR1_96820.1, SCUR1_85550.1
OG0004744	STRK1_28110.1	SCUR1_37150.1
OG0004745	STRK1_2000.1	SCUR1_19260.1, SCUR1_19260.2
OG0004746	STRK1_47820.1	SCUR1_53470.1, SCUR1_53470.2, SCUR1_53470.3
OG0004747	STRK1_68320.1	SCUR1_69680.1
OG0004749	STRK1_91110.1	SCUR1_97450.1
OG0004750	STRK1_22500.1	SCUR1_25590.1, SCUR1_25590.2
OG0004751	STRK1_59870.1, STRK1_99280.1, STRK1_96860.1	SCUR1_60470.1
OG0004752	STRK1_7550.1	SCUR1_12400.1
OG0004753	STRK1_7270.1, STRK1_7270.2, STRK1_7270.3	SCUR1_7390.1
OG0004754	STRK1_56840.1, STRK1_56840.2	SCUR1_57250.1, SCUR1_57250.2, SCUR1_57250.3
OG0004756	STRK1_65360.1	SCUR1_61860.1
OG0004757	STRK1_92930.1, STRK1_92930.2	SCUR1_94360.2, SCUR1_94360.3, SCUR1_94360.1
OG0004758	STRK1_72120.1	SCUR1_74640.2, SCUR1_74640.1
OG0004759	STRK1_22400.1	SCUR1_23800.1
OG0004760	STRK1_55270.1, STRK1_56380.1, STRK1_56400.1	SCUR1_58690.1
OG0004761	STRK1_8190.1, STRK1_8190.3, STRK1_8190.2	SCUR1_12960.1
OG0004762	STRK1_90900.1, STRK1_97020.1	SCUR1_93350.1, SCUR1_93350.2
OG0004763	STRK1_67850.1	SCUR1_69280.1, SCUR1_69280.2
OG0004764	STRK1_89210.1	SCUR1_90550.1, SCUR1_90550.3, SCUR1_98530.1, SCUR1_90550.2, SCUR1_90550.4
OG0004765	STRK1_34230.1	SCUR1_33040.1, SCUR1_33040.2
OG0004766	STRK1_60580.1	SCUR1_61260.1, SCUR1_61260.2
OG0004767	STRK1_38680.1, STRK1_38680.2	SCUR1_40660.1, SCUR1_40660.2
OG0004768	STRK1_16440.1, STRK1_16440.2	SCUR1_3730.1
OG0004769	STRK1_28400.1	SCUR1_36810.3, SCUR1_36810.1, SCUR1_36810.2
OG0004770	STRK1_58660.1, STRK1_58660.2, STRK1_58660.3	SCUR1_64090.1
OG0004771	STRK1_49840.1	SCUR1_49400.1, SCUR1_49400.2, SCUR1_49400.3
OG0004772	STRK1_77340.1	SCUR1_99710.1, SCUR1_99710.2, SCUR1_92290.1
OG0004773	STRK1_29690.1	SCUR1_30280.1, SCUR1_30280.2
OG0004775	STRK1_37470.1	SCUR1_42560.1
OG0004776	STRK1_34610.1	SCUR1_33450.5, SCUR1_33450.6, SCUR1_33450.4, SCUR1_33450.1, SCUR1_33450.2, SCUR1_33450.3
OG0004777	STRK1_74160.2	SCUR1_74250.1, SCUR1_74250.2, SCUR1_100620.1, SCUR1_100620.2
OG0004778	STRK1_54800.1	SCUR1_55220.1
OG0004779	STRK1_2960.1	SCUR1_15720.1
OG0004780	STRK1_4100.1	SCUR1_12360.1, SCUR1_12360.2, SCUR1_12360.3
OG0004781	STRK1_71850.1	SCUR1_72190.1
OG0004783	STRK1_107460.1, STRK1_78370.1, STRK1_78380.1	SCUR1_80810.1
OG0004784	STRK1_80150.1	SCUR1_81480.3, SCUR1_81480.2, SCUR1_81480.1
OG0004785	STRK1_95700.1	SCUR1_83110.1
OG0004786	STRK1_44590.1	SCUR1_46680.1, SCUR1_46680.2
OG0004787	STRK1_110910.1	SCUR1_55330.1
OG0004788	STRK1_85350.1	SCUR1_87520.2, SCUR1_87570.1
OG0004789	STRK1_59800.1	SCUR1_62030.1, SCUR1_62040.1
OG0004790	STRK1_18360.1	SCUR1_21080.1, SCUR1_21080.2
OG0004791	STRK1_8290.1, STRK1_8290.2	SCUR1_13040.2, SCUR1_13040.3, SCUR1_13040.1
OG0004792	STRK1_47520.1	SCUR1_53180.3, SCUR1_53180.4, SCUR1_53180.5, SCUR1_53180.6, SCUR1_53180.1, SCUR1_53180.2, SCUR1_53180.7
OG0004793	STRK1_70000.1	SCUR1_71430.1, SCUR1_71430.2
OG0004794	STRK1_68550.1	SCUR1_69880.1
OG0004795	STRK1_31660.1	SCUR1_32200.1, SCUR1_32200.2
OG0004796	STRK1_4020.1	SCUR1_18880.1
OG0004797	STRK1_92940.1	SCUR1_94370.1, SCUR1_94370.2
OG0004798	STRK1_10730.1	SCUR1_11410.1
OG0004799	STRK1_92240.1, STRK1_92250.1, STRK1_39390.1	SCUR1_91750.1
OG0004800	STRK1_3990.1	SCUR1_18850.1
OG0004801	STRK1_101250.1, STRK1_101250.2	SCUR1_23920.1, SCUR1_23920.2, SCUR1_23920.3
OG0004802	STRK1_63580.1	SCUR1_63780.1
OG0004803	STRK1_57300.1, STRK1_57300.2	SCUR1_58970.1, SCUR1_58970.2, SCUR1_58970.3
OG0004804	STRK1_14860.1	SCUR1_16160.1, SCUR1_16160.2
OG0004805	STRK1_16420.1	SCUR1_3750.1, SCUR1_3750.2
OG0004806	STRK1_46250.1	SCUR1_51830.1
OG0004807	STRK1_48750.1	SCUR1_54820.1, SCUR1_54820.2, SCUR1_54820.3, SCUR1_54820.4
OG0004808	STRK1_72870.1	SCUR1_75880.3, SCUR1_75880.1, SCUR1_75880.2
OG0004809	STRK1_48560.1	SCUR1_50330.1
OG0004811	STRK1_38320.5, STRK1_38320.8, STRK1_38320.9, STRK1_38320.7, STRK1_38320.3, STRK1_38320.10, STRK1_38320.2, STRK1_38320.4, STRK1_38320.6, STRK1_38320.1	SCUR1_40160.1
OG0004812	STRK1_34420.1	SCUR1_33270.1, SCUR1_33270.4, SCUR1_33270.2, SCUR1_33270.3
OG0004813	STRK1_86110.1, STRK1_86110.2	SCUR1_89060.1
OG0004814	STRK1_3370.1	SCUR1_5750.2, SCUR1_5750.1
OG0004816	STRK1_72860.1	SCUR1_75890.1, SCUR1_75890.2
OG0004817	STRK1_79880.1	SCUR1_80660.1
OG0004818	STRK1_91560.1	SCUR1_91370.1, SCUR1_91370.2
OG0004819	STRK1_73290.1, STRK1_73300.1	SCUR1_77800.1
OG0004820	STRK1_34910.1	SCUR1_33770.1, SCUR1_33770.2
OG0004821	STRK1_42210.1	SCUR1_45500.1, SCUR1_45500.3, SCUR1_45500.4, SCUR1_45500.5, SCUR1_45500.6, SCUR1_45500.7, SCUR1_45500.2
OG0004822	STRK1_22160.1	SCUR1_23630.2, SCUR1_23630.1
OG0004825	STRK1_107470.1, STRK1_58030.1	SCUR1_59860.1
OG0004826	STRK1_78560.1	SCUR1_81010.1
OG0004827	STRK1_84030.1	SCUR1_85670.1, SCUR1_85670.3, SCUR1_85670.4, SCUR1_85670.2
OG0004828	STRK1_24670.1	SCUR1_23950.1, SCUR1_23950.2, SCUR1_23950.3, SCUR1_23950.4
OG0004829	STRK1_32890.1, STRK1_32890.2, STRK1_32890.3	SCUR1_38340.1
OG0004830	STRK1_59130.1	SCUR1_65790.1
OG0004831	STRK1_24420.1	SCUR1_28210.1
OG0004832	STRK1_31310.1	SCUR1_36680.1, SCUR1_36680.2
OG0004833	STRK1_28280.1, STRK1_28280.2	SCUR1_36940.1
OG0004834	STRK1_31870.1	SCUR1_31880.1
OG0004835	STRK1_102460.1, STRK1_22970.1, STRK1_22960.1, STRK1_106950.1	SCUR1_25080.1
OG0004836	STRK1_82750.1	SCUR1_84450.1
OG0004837	STRK1_11090.1	SCUR1_14260.1
OG0004838	STRK1_74290.1	SCUR1_74130.2, SCUR1_74130.1, SCUR1_74130.3
OG0004839	STRK1_91330.1	SCUR1_280.1
OG0004840	STRK1_52710.1	SCUR1_51350.1
OG0004841	STRK1_99470.1, STRK1_62650.1, STRK1_99460.1	SCUR1_65170.1
OG0004842	STRK1_70410.1	SCUR1_71900.1, SCUR1_71900.2, SCUR1_71900.3
OG0004843	STRK1_33300.1	SCUR1_37770.1, SCUR1_37770.2
OG0004844	STRK1_1620.1	SCUR1_1820.1
OG0004845	STRK1_1610.1	SCUR1_1830.3, SCUR1_1830.1, SCUR1_1830.2
OG0004846	STRK1_77440.1	SCUR1_78470.1
OG0004847	STRK1_67590.1	SCUR1_68980.1
OG0004849	STRK1_43470.1, STRK1_43460.1	SCUR1_45830.1, SCUR1_45830.2
OG0004850	STRK1_58680.1	SCUR1_64070.1, SCUR1_64060.1
OG0004851	STRK1_1930.1, STRK1_96540.1, STRK1_96540.2	SCUR1_19320.1
OG0004852	STRK1_46890.1	SCUR1_52510.2, SCUR1_52510.1
OG0004853	STRK1_23320.1	SCUR1_24940.1
OG0004854	STRK1_88760.1	SCUR1_90200.1, SCUR1_90200.2, SCUR1_90200.3
OG0004855	STRK1_34150.1	SCUR1_32960.1
OG0004856	STRK1_76340.1, STRK1_76340.2, STRK1_76340.3	SCUR1_78140.1
OG0004857	STRK1_44040.1, STRK1_95200.1, STRK1_95830.1	SCUR1_46240.2, SCUR1_46240.1
OG0004858	STRK1_77000.1	SCUR1_79020.1, SCUR1_99610.1
OG0004859	STRK1_64560.1	SCUR1_66430.1
OG0004860	STRK1_45950.1	SCUR1_47970.2, SCUR1_47970.1, SCUR1_47970.3
OG0004861	STRK1_25520.1, STRK1_25520.2, STRK1_25520.3, STRK1_25520.4, STRK1_25520.5	SCUR1_27280.1
OG0004862	STRK1_54570.1	SCUR1_50570.1, SCUR1_50570.2
OG0004864	STRK1_35330.1, STRK1_35330.2	SCUR1_34180.1
OG0004865	STRK1_24490.1	SCUR1_23900.1
OG0004866	STRK1_63460.1, STRK1_63500.1	SCUR1_65510.1
OG0004869	STRK1_13900.1, STRK1_13900.2	SCUR1_17240.1
OG0004870	STRK1_78420.1, STRK1_102210.1	SCUR1_80900.2, SCUR1_80900.1
OG0004871	STRK1_12520.1	SCUR1_8340.1
OG0004872	STRK1_19720.1	SCUR1_100970.1, SCUR1_19760.1, SCUR1_19760.2
OG0004873	STRK1_41700.1	SCUR1_41860.2, SCUR1_41860.1
OG0004874	STRK1_16950.1	SCUR1_3120.1
OG0004875	STRK1_17100.1	SCUR1_2970.1
OG0004876	STRK1_54580.1	SCUR1_55120.1
OG0004877	STRK1_79380.1	SCUR1_80100.1, SCUR1_80100.2, SCUR1_80100.3, SCUR1_80100.5, SCUR1_80100.4
OG0004878	STRK1_67670.1	SCUR1_96940.1
OG0004879	STRK1_58070.1	SCUR1_59870.1, SCUR1_59870.2
OG0004880	STRK1_14390.1	SCUR1_16670.1
OG0004881	STRK1_11360.1, STRK1_11360.2	SCUR1_13940.1
OG0004882	STRK1_1400.1, STRK1_1400.2	SCUR1_2120.1, SCUR1_2120.2
OG0004883	STRK1_8900.1, STRK1_8920.1	SCUR1_9390.1
OG0004884	STRK1_96490.1, STRK1_80270.1	SCUR1_81590.1
OG0004885	STRK1_110030.1, STRK1_310.1	SCUR1_98190.1, SCUR1_760.1, SCUR1_98200.1
OG0004886	STRK1_3610.1	SCUR1_6040.1
OG0004887	STRK1_46840.1	SCUR1_52440.1, SCUR1_52440.2, SCUR1_52440.3
OG0004888	STRK1_78430.1, STRK1_107100.1, STRK1_105260.1	SCUR1_80930.3, SCUR1_80930.1, SCUR1_80930.2
OG0004889	STRK1_53140.1	SCUR1_56830.2, SCUR1_56830.1, SCUR1_56830.3, SCUR1_56830.4
OG0004890	STRK1_109630.1, STRK1_85380.1	SCUR1_68790.1
OG0004891	STRK1_29170.1	SCUR1_30800.1
OG0004892	STRK1_70640.1	SCUR1_72060.1
OG0004893	STRK1_1820.1, STRK1_1820.2	SCUR1_19430.1, SCUR1_19430.2
OG0004894	STRK1_101390.1, STRK1_53170.1	SCUR1_56790.1
OG0004895	STRK1_89790.1	SCUR1_90920.1, SCUR1_90940.1
OG0004896	STRK1_28690.1	SCUR1_38910.1
OG0004897	STRK1_9760.1, STRK1_9760.2, STRK1_9760.3	SCUR1_10420.1, SCUR1_10420.2
OG0004898	STRK1_44950.1	SCUR1_98260.1, SCUR1_46990.1, SCUR1_98270.1
OG0004899	STRK1_45820.1	SCUR1_47880.1
OG0004900	STRK1_25550.1	SCUR1_27220.1
OG0004901	STRK1_45790.1	SCUR1_100780.1, SCUR1_47810.1
OG0004902	STRK1_28020.1, STRK1_108150.1, STRK1_109140.1	SCUR1_37230.1
OG0004903	STRK1_64190.1, STRK1_64190.2	SCUR1_63170.3, SCUR1_63170.1, SCUR1_63170.2
OG0004904	STRK1_61720.1	SCUR1_64400.1, SCUR1_64400.2
OG0004905	STRK1_11460.1	SCUR1_13840.1
OG0004906	STRK1_8220.1	SCUR1_12980.1
OG0004907	STRK1_57010.1	SCUR1_59210.1
OG0004908	STRK1_36560.1	SCUR1_29420.1
OG0004909	STRK1_7830.1	SCUR1_12570.1, SCUR1_12570.2
OG0004910	STRK1_97330.1, STRK1_19260.1	SCUR1_20290.1, SCUR1_20290.2
OG0004911	STRK1_45100.1	SCUR1_47150.1
OG0004911	STRK1_240.1	SCUR1_700.1
OG0004912	STRK1_86580.1, STRK1_86580.2	SCUR1_88480.1
