Orthogroup	s.mekongi	schmidtea_mediterranea
OG0004976	KAK4467840.1	h1SMcT0019865.1
OG0004977	KAK4471865.1	h1SMcT0004505.1, h1SMcT0004505.2, h1SMcT0000458.1, h1SMcT0004508.1
OG0004979	KAK4469818.1	h1SMcT0006960.1, h1SMcT0022188.1, h1SMcT0022188.2, h1SMcT0022188.3, h1SMcT0017831.1, h1SMcT0017831.2
OG0004980	KAK4472493.1	h1SMcT0010915.1, h1SMcT0014641.1, h1SMcT0016799.1
OG0004981	KAK4471995.1	h1SMcT0005879.1, h1SMcT0002890.1, h1SMcT0002890.2, h1SMcT0002890.3, h1SMcT0018843.1
OG0004982	KAK4468161.1	h1SMcT0001033.1, h1SMcT0001033.2
OG0004984	KAK4472647.1	h1SMcT0010218.1, h1SMcT0015647.1, h1SMcT0015647.2, h1SMcT0017198.1, h1SMcT0017198.2
OG0004985	KAK4470703.1	h1SMcT0006914.1
OG0004986	KAK4472482.1	h1SMcT0021852.1, h1SMcT0021852.2
OG0004987	KAK4473189.1	h1SMcT0004717.1
OG0004988	KAK4475697.1	h1SMcT0001984.1
OG0004989	KAK4470134.1	h1SMcT0000588.1, h1SMcT0000588.3
OG0004990	KAK4475118.1	h1SMcT0006669.1, h1SMcT0017498.1, h1SMcT0017498.2
OG0004991	KAK4475870.1	h1SMcT0011808.1, h1SMcT0014387.1
OG0004994	KAK4469606.1	h1SMcT0000226.1
OG0004995	KAK4472669.1	h1SMcT0013790.1, h1SMcT0013790.2
OG0004996	KAK4471243.1	h1SMcT0008267.1
OG0004997	KAK4468349.1	h1SMcT0000065.1, h1SMcT0014016.1
OG0004998	KAK4475803.1	h1SMcT0005168.1, h1SMcT0007703.1, h1SMcT0020684.1, h1SMcT0020684.2
OG0004999	KAK4468498.1	h1SMcT0008303.1
OG0005003	KAK4472988.1	h1SMcT0022097.1, h1SMcT0022097.2
OG0005004	KAK4471985.1	h1SMcT0018118.1
OG0005005	KAK4473953.1	h1SMcT0002606.2, h1SMcT0002606.3, h1SMcT0002606.4, h1SMcT0002606.1
OG0005007	KAK4473693.1	h1SMcT0007553.1
OG0005008	KAK4468704.1	h1SMcT0000319.1, h1SMcT0004391.1
OG0005009	KAK4472550.1	h1SMcT0008865.1, h1SMcT0008865.2
OG0005010	KAK4472756.1	h1SMcT0003251.1, h1SMcT0003251.2
OG0005011	KAK4472872.1	h1SMcT0003319.1
OG0005012	KAK4473148.1	h1SMcT0021619.1
OG0005013	KAK4473966.1	h1SMcT0002908.1, h1SMcT0002908.2
OG0005014	KAK4468307.1	h1SMcT0001097.1
OG0005016	KAK4471098.1	h1SMcT0006696.1
OG0005017	KAK4467619.1	h1SMcT0013488.1, h1SMcT0013488.2
OG0005018	KAK4473184.1	h1SMcT0019241.1
OG0005019	KAK4468866.1	h1SMcT0013916.2, h1SMcT0013916.1, h1SMcT0013922.1
OG0005020	KAK4473719.1	h1SMcT0015330.3, h1SMcT0015330.1, h1SMcT0015330.2
OG0005022	KAK4473203.1	h1SMcT0005390.1
OG0005026	KAK4471423.1	h1SMcT0013764.1
OG0005027	KAK4472642.1	h1SMcT0006617.1, h1SMcT0008146.1, h1SMcT0019264.1
OG0005030	KAK4473059.1	h1SMcT0008432.1, h1SMcT0008432.3, h1SMcT0008432.2
OG0005031	KAK4472907.1	h1SMcT0003422.1, h1SMcT0021860.1, h1SMcT0017431.1, h1SMcT0017431.2
OG0005035	KAK4471102.1	h1SMcT0010076.1
OG0005036	KAK4471764.1	h1SMcT0012103.1
OG0005037	KAK4472275.1	h1SMcT0005959.1
OG0005039	KAK4472105.1	h1SMcT0011291.1
OG0005042	KAK4472522.1	h1SMcT0002893.1
OG0005043	KAK4471434.1	h1SMcT0014512.1, h1SMcT0014512.2
OG0005044	KAK4468079.1	h1SMcT0007245.1
OG0005045	KAK4473702.1, KAK4473703.1, KAK4473704.1	h1SMcT0013190.1, h1SMcT0022884.1
OG0005046	KAK4469761.1	h1SMcT0019533.1
OG0005048	KAK4475300.1	h1SMcT0015415.1, h1SMcT0015415.2, h1SMcT0013594.1, h1SMcT0013594.2, h1SMcT0014633.1, h1SMcT0014633.3, h1SMcT0014633.2, h1SMcT0014633.4
OG0005049	KAK4468889.1	h1SMcT0021517.1, h1SMcT0021517.2
OG0005050	KAK4474543.1	h1SMcT0011969.1
OG0005053	KAK4474122.1	h1SMcT0004888.1
OG0005054	KAK4467728.1	h1SMcT0019179.1
OG0005055	KAK4474714.1	h1SMcT0016790.1
OG0005056	KAK4472818.1	h1SMcT0004781.1, h1SMcT0004781.2, h1SMcT0011863.1, h1SMcT0014657.1, h1SMcT0014657.3
OG0005057	KAK4473395.1	h1SMcT0002965.2, h1SMcT0002965.1, h1SMcT0002965.3, h1SMcT0013084.1, h1SMcT0014095.1
OG0005058	KAK4469495.1	h1SMcT0013621.1, h1SMcT0013621.2
OG0005059	KAK4474764.1	h1SMcT0009001.1, h1SMcT0009001.2
OG0005062	KAK4472735.1	h1SMcT0009273.1, h1SMcT0009273.2
OG0005064	KAK4468005.1	h1SMcT0006481.1, h1SMcT0018354.1
OG0005065	KAK4474461.1	h1SMcT0000907.1
OG0005067	KAK4474034.1	h1SMcT0008360.1, h1SMcT0008360.2
OG0005068	KAK4470095.1	h1SMcT0019233.3, h1SMcT0019233.4, h1SMcT0019233.1, h1SMcT0019233.2
OG0005069	KAK4472443.1	h1SMcT0009200.1
OG0005070	KAK4476133.1	h1SMcT0001440.1
OG0005071	KAK4473204.1	h1SMcT0011428.1
OG0005072	KAK4472473.1	h1SMcT0022456.2, h1SMcT0022456.1, h1SMcT0022456.3
OG0005073	KAK4475595.1	h1SMcT0018881.1, h1SMcT0018881.2, h1SMcT0018881.3
OG0005074	KAK4476251.1	h1SMcT0014352.1, h1SMcT0016045.1
OG0005076	KAK4472336.1	h1SMcT0017140.1
OG0005077	KAK4469801.1	h1SMcT0015626.1
OG0005078	KAK4470117.1	h1SMcT0001220.1
OG0005079	KAK4473866.1	h1SMcT0004371.2, h1SMcT0004371.3
OG0005081	KAK4476151.1	h1SMcT0004620.1
OG0005082	KAK4472303.1	h1SMcT0022564.1
OG0005083	KAK4473516.1	h1SMcT0010656.1
OG0005084	KAK4467677.1	h1SMcT0012899.1, h1SMcT0012899.2
OG0005085	KAK4474474.1	h1SMcT0015294.1, h1SMcT0015294.2, h1SMcT0011292.1, h1SMcT0011292.2, h1SMcT0011292.3
OG0005086	KAK4471591.1	h1SMcT0022258.1, h1SMcT0022258.2
OG0005087	KAK4470633.1	h1SMcT0018954.1, h1SMcT0001701.1, h1SMcT0001701.2
OG0005089	KAK4470346.1	h1SMcT0007941.1, h1SMcT0009836.1
OG0005090	KAK4471200.1	h1SMcT0010087.1
OG0005091	KAK4474705.1	h1SMcT0002017.1, h1SMcT0013693.1
OG0005092	KAK4473213.1	h1SMcT0010072.1, h1SMcT0019998.1, h1SMcT0019998.4, h1SMcT0019998.3, h1SMcT0019998.2
OG0005094	KAK4470498.1	h1SMcT0000080.1, h1SMcT0005396.1
OG0005097	KAK4467774.1	h1SMcT0016430.1, h1SMcT0009847.1, h1SMcT0010038.1, h1SMcT0010038.2
OG0005098	KAK4469808.1	h1SMcT0018894.1
OG0005099	KAK4468428.1	h1SMcT0011933.1
OG0005102	KAK4471894.1	h1SMcT0012817.1, h1SMcT0012817.2
OG0005103	KAK4470377.1	h1SMcT0021532.1
OG0005107	KAK4472693.1	h1SMcT0006937.1
OG0005108	KAK4468103.1	h1SMcT0015283.1, h1SMcT0021565.1, h1SMcT0013875.1
OG0005111	KAK4469185.1	h1SMcT0011853.1
OG0005112	KAK4476145.1, KAK4476134.1	h1SMcT0003331.1, h1SMcT0018226.1
OG0005113	KAK4470229.1	h1SMcT0018191.2, h1SMcT0020180.1
OG0005115	KAK4471937.1	h1SMcT0019652.1, h1SMcT0019652.2
OG0005116	KAK4473575.1	h1SMcT0017242.2, h1SMcT0017242.1, h1SMcT0017242.3
OG0005117	KAK4475764.1	h1SMcT0007636.1, h1SMcT0007636.2, h1SMcT0007636.3
OG0005118	KAK4468457.1	h1SMcT0016544.1, h1SMcT0020417.1, h1SMcT0021438.1, h1SMcT0021400.1, h1SMcT0021141.1, h1SMcT0018920.1, h1SMcT0018920.2
OG0005120	KAK4468102.1	h1SMcT0000932.1, h1SMcT0000932.2
OG0005121	KAK4470273.1	h1SMcT0005495.1, h1SMcT0005495.2
OG0005122	KAK4468660.1	h1SMcT0010688.1
OG0005125	KAK4474905.1	h1SMcT0020027.1
OG0005126	KAK4472041.1	h1SMcT0013597.1
OG0005127	KAK4472349.1	h1SMcT0018877.1, h1SMcT0018877.2
OG0005128	KAK4471113.1	h1SMcT0006065.3, h1SMcT0006065.1, h1SMcT0006065.4, h1SMcT0006065.5
OG0005130	KAK4475466.1	h1SMcT0020609.1
OG0005131	KAK4469587.1	h1SMcT0015540.1
OG0005133	KAK4469852.1	h1SMcT0014956.1, h1SMcT0016361.2, h1SMcT0016361.3
OG0005134	KAK4469462.1	h1SMcT0008716.1
OG0005135	KAK4473536.1	h1SMcT0007961.1, h1SMcT0007961.2
OG0005136	KAK4470432.1	h1SMcT0009156.1
OG0005137	KAK4470080.1	h1SMcT0001950.1
OG0005138	KAK4474943.1	h1SMcT0011646.1, h1SMcT0011646.2, h1SMcT0011646.3
OG0005140	KAK4473250.1	h1SMcT0007389.1
OG0005141	KAK4467634.1	h1SMcT0005874.3, h1SMcT0005874.1, h1SMcT0005874.2
OG0005142	KAK4469267.1	h1SMcT0015342.1
OG0005144	KAK4470647.1	h1SMcT0010503.1
OG0005145	KAK4475771.1	h1SMcT0008202.1, h1SMcT0008202.2, h1SMcT0002373.1, h1SMcT0002373.2
OG0005146	KAK4475086.1	h1SMcT0014241.1, h1SMcT0014241.2
OG0005147	KAK4469466.1	h1SMcT0013184.1, h1SMcT0016878.1, h1SMcT0001573.1, h1SMcT0008159.1
OG0005148	KAK4469898.1	h1SMcT0001317.3, h1SMcT0001317.2, h1SMcT0001317.1, h1SMcT0016229.1, h1SMcT0020437.1
OG0005149	KAK4474364.1	h1SMcT0013601.1
OG0005150	KAK4472576.1	h1SMcT0011445.1, h1SMcT0011445.2
OG0005153	KAK4468674.1	h1SMcT0002260.1, h1SMcT0002260.2
OG0005154	KAK4469037.1	h1SMcT0008358.1
OG0005156	KAK4470196.1	h1SMcT0022323.1
OG0005160	KAK4473460.1	h1SMcT0017442.1, h1SMcT0021735.1
OG0005161	KAK4472433.1	h1SMcT0019962.1, h1SMcT0019962.2
OG0005162	KAK4476058.1	h1SMcT0017851.1
OG0005163	KAK4470785.1	h1SMcT0003714.1, h1SMcT0003714.2
OG0005164	KAK4473287.1	h1SMcT0010665.1
OG0005165	KAK4467739.1	h1SMcT0002239.1, h1SMcT0016743.1
OG0005166	KAK4469553.1	h1SMcT0007517.1
OG0005167	KAK4470059.1	h1SMcT0018184.1
OG0005168	KAK4469273.1	h1SMcT0009460.1, h1SMcT0009255.1, h1SMcT0009256.1
OG0005171	KAK4467526.1	h1SMcT0018450.1, h1SMcT0018450.2
OG0005172	KAK4469932.1	h1SMcT0017147.1
OG0005174	KAK4468859.1	h1SMcT0005368.1
OG0005175	KAK4467862.1	h1SMcT0010599.1, h1SMcT0010599.2
OG0005176	KAK4473566.1	h1SMcT0021163.1
OG0005177	KAK4470806.1	h1SMcT0002697.4, h1SMcT0002697.2, h1SMcT0002697.3, h1SMcT0002697.6, h1SMcT0002697.5, h1SMcT0002697.1, h1SMcT0002697.7, h1SMcT0002697.8
OG0005178	KAK4471376.1	h1SMcT0015409.3, h1SMcT0015409.1, h1SMcT0015409.2
OG0005179	KAK4468138.1	h1SMcT0005022.1
OG0005180	KAK4475373.1	h1SMcT0012658.1, h1SMcT0012658.2, h1SMcT0010438.1, h1SMcT0010438.2
OG0005181	KAK4468281.1	h1SMcT0019487.1
OG0005182	KAK4469364.1	h1SMcT0003504.1
OG0005183	KAK4471111.1	h1SMcT0018644.1, h1SMcT0018644.2
OG0005185	KAK4470160.1	h1SMcT0004545.1, h1SMcT0006069.1, h1SMcT0006069.2
OG0005188	KAK4468819.1	h1SMcT0014837.1, h1SMcT0014837.2
OG0005189	KAK4472789.1	h1SMcT0016859.1
OG0005190	KAK4470634.1	h1SMcT0020179.1, h1SMcT0020179.2, h1SMcT0020179.3
OG0005191	KAK4470955.1	h1SMcT0022602.1
OG0005192	KAK4470388.1	h1SMcT0010739.1, h1SMcT0010739.2
OG0005193	KAK4467989.1	h1SMcT0004292.1, h1SMcT0007575.1, h1SMcT0002383.1, h1SMcT0002383.2
OG0005194	KAK4470812.1	h1SMcT0016411.1, h1SMcT0010364.1, h1SMcT0010364.2, h1SMcT0014969.1, h1SMcT0014970.1, h1SMcT0002605.1, h1SMcT0002605.2, h1SMcT0014400.1
OG0005195	KAK4474016.1	h1SMcT0020581.3, h1SMcT0020581.2, h1SMcT0020581.1, h1SMcT0020581.4
OG0005196	KAK4471180.1	h1SMcT0008317.1
OG0005197	KAK4474584.1	h1SMcT0006820.1
OG0005198	KAK4469020.1	h1SMcT0020475.1, h1SMcT0020475.2
OG0005199	KAK4468818.1	h1SMcT0020796.1
OG0005200	KAK4469425.1	h1SMcT0006036.1, h1SMcT0021477.1
OG0005202	KAK4473206.1	h1SMcT0001747.1
OG0005204	KAK4474802.1	h1SMcT0000429.1, h1SMcT0000429.2
OG0005205	KAK4467514.1, KAK4475649.1	h1SMcT0016384.1, h1SMcT0016384.3, h1SMcT0016384.2
OG0005206	KAK4469685.1	h1SMcT0013001.1
OG0005207	KAK4468261.1	h1SMcT0022601.1, h1SMcT0012871.1, h1SMcT0021038.1
OG0005208	KAK4469859.1	h1SMcT0001241.1
OG0005212	KAK4475999.1	h1SMcT0022523.1
OG0005213	KAK4468133.1	h1SMcT0001006.1, h1SMcT0001006.3, h1SMcT0001006.2
OG0005214	KAK4473207.1, KAK4473208.1	h1SMcT0011132.1, h1SMcT0011132.2, h1SMcT0011132.3
OG0005215	KAK4470360.1	h1SMcT0010625.1, h1SMcT0011878.1
OG0005216	KAK4475228.1	h1SMcT0013218.2, h1SMcT0013218.1, h1SMcT0013218.3
OG0005217	KAK4470447.1	h1SMcT0019440.1
OG0005218	KAK4468657.1	h1SMcT0009334.2, h1SMcT0009334.1, h1SMcT0009334.3
OG0005219	KAK4476253.1	h1SMcT0002582.1
OG0005220	KAK4475774.1	h1SMcT0021446.1
OG0005221	KAK4473764.1	h1SMcT0012226.2, h1SMcT0012226.1, h1SMcT0012226.3
OG0005222	KAK4474673.1	h1SMcT0011200.1
OG0005224	KAK4471541.1	h1SMcT0022033.3, h1SMcT0022033.2, h1SMcT0022033.1
OG0005225	KAK4472777.1	h1SMcT0003494.1, h1SMcT0003494.2
OG0005226	KAK4473209.1	h1SMcT0011805.1
OG0005227	KAK4475947.1	h1SMcT0003569.1, h1SMcT0013010.1
OG0005229	KAK4474436.1	h1SMcT0019174.1, h1SMcT0019175.1, h1SMcT0019176.1, h1SMcT0019504.1, h1SMcT0006033.1, h1SMcT0019124.1, h1SMcT0019124.2
OG0005230	KAK4469616.1	h1SMcT0003226.1, h1SMcT0009626.1
OG0005233	KAK4475379.1	h1SMcT0003543.1, h1SMcT0003543.2
OG0005234	KAK4474322.1	h1SMcT0009154.1, h1SMcT0009154.2
OG0005237	KAK4468119.1	h1SMcT0015847.1, h1SMcT0015847.2
OG0005238	KAK4472258.1	h1SMcT0018416.1
OG0005239	KAK4469936.1	h1SMcT0009499.1
OG0005240	KAK4471318.1	h1SMcT0009986.1
OG0005241	KAK4471284.1	h1SMcT0010536.1
OG0005244	KAK4474857.1	h1SMcT0018206.1
OG0005247	KAK4475047.1	h1SMcT0015327.1, h1SMcT0016935.1, h1SMcT0016935.2
OG0005248	KAK4471521.1	h1SMcT0022068.1
OG0005249	KAK4474751.1	h1SMcT0020925.1
OG0005252	KAK4470061.1	h1SMcT0004216.1, h1SMcT0003227.1, h1SMcT0011960.4
OG0005255	KAK4467798.1	h1SMcT0022207.1
OG0005256	KAK4468202.1	h1SMcT0006781.1
OG0005259	KAK4470326.1	h1SMcT0010193.1, h1SMcT0010193.2
OG0005263	KAK4472229.1	h1SMcT0013829.1, h1SMcT0013829.2, h1SMcT0013829.3
OG0005283	KAK4468757.1	h1SMcT0002380.1
OG0005284	KAK4470374.1	h1SMcT0001301.3
OG0005287	KAK4474535.1	h1SMcT0005450.1, h1SMcT0005450.2
OG0005288	KAK4469382.1	h1SMcT0017172.2, h1SMcT0017172.3, h1SMcT0017172.1, h1SMcT0017172.4
OG0005289	KAK4469599.1	h1SMcT0000523.1
OG0005290	KAK4473433.1	h1SMcT0004323.2, h1SMcT0004323.1, h1SMcT0004323.3
OG0005292	KAK4474026.1	h1SMcT0004388.1, h1SMcT0004388.2
OG0005293	KAK4471840.1	h1SMcT0002811.1, h1SMcT0002811.2
OG0005294	KAK4469732.1	h1SMcT0012241.1
OG0005295	KAK4469780.1	h1SMcT0003821.1
OG0005296	KAK4474059.1	h1SMcT0015665.1
OG0005297	KAK4468251.1	h1SMcT0019461.1, h1SMcT0019461.2
OG0005298	KAK4473467.1, KAK4473466.1	h1SMcT0000587.3, h1SMcT0000587.1, h1SMcT0000587.2
OG0005299	KAK4470974.1	h1SMcT0009514.1, h1SMcT0007086.1, h1SMcT0007086.7, h1SMcT0007086.8, h1SMcT0007086.2, h1SMcT0007086.4, h1SMcT0007086.5, h1SMcT0007086.6, h1SMcT0007086.3
OG0005300	KAK4468930.1	h1SMcT0001478.2
OG0005301	KAK4470104.1	h1SMcT0008033.1
OG0005303	KAK4469807.1	h1SMcT0018047.1
OG0005304	KAK4468664.1	h1SMcT0022522.1, h1SMcT0022522.2
OG0005306	KAK4474942.1	h1SMcT0007567.1, h1SMcT0007828.1
OG0005309	KAK4473175.1	h1SMcT0020079.1, h1SMcT0020079.2, h1SMcT0020078.1, h1SMcT0020078.2
OG0005310	KAK4476156.1	h1SMcT0020927.1
OG0005311	KAK4468106.1	h1SMcT0002632.1, h1SMcT0002632.2
OG0005313	KAK4473317.1	h1SMcT0020083.1
OG0005314	KAK4474992.1	h1SMcT0007526.1
OG0005315	KAK4471121.1	h1SMcT0008523.1, h1SMcT0008523.2, h1SMcT0005257.1, h1SMcT0022892.1
OG0005317	KAK4472006.1	h1SMcT0006898.1, h1SMcT0006898.2
OG0005318	KAK4472768.1	h1SMcT0003806.1
OG0005319	KAK4471709.1	h1SMcT0018320.1
OG0005322	KAK4468690.1	h1SMcT0012455.1
OG0005323	KAK4472876.1	h1SMcT0017962.3
OG0005324	KAK4473731.1	h1SMcT0005944.1
OG0005325	KAK4472658.1	h1SMcT0003807.1, h1SMcT0003807.2
OG0005326	KAK4476075.1	h1SMcT0013514.1, h1SMcT0021921.1, h1SMcT0021921.2
OG0005328	KAK4471753.1	h1SMcT0017955.1
OG0005329	KAK4474816.1	h1SMcT0011688.1
OG0005330	KAK4468350.1	h1SMcT0020963.2, h1SMcT0020963.1, h1SMcT0020963.3
OG0005332	KAK4468542.1	h1SMcT0016796.1, h1SMcT0016796.2
OG0005333	KAK4475508.1	h1SMcT0017097.3, h1SMcT0017097.2, h1SMcT0017097.1
OG0005334	KAK4474614.1	h1SMcT0003452.1
OG0005335	KAK4470760.1	h1SMcT0018039.3, h1SMcT0018039.1, h1SMcT0018039.2
OG0005336	KAK4474653.1	h1SMcT0014686.1, h1SMcT0014813.2, h1SMcT0014813.3
OG0005338	KAK4469277.1	h1SMcT0019936.3, h1SMcT0019936.2, h1SMcT0019936.1
OG0005340	KAK4468619.1	h1SMcT0001475.1
OG0005341	KAK4475294.1	h1SMcT0013046.1
OG0005344	KAK4470780.1	h1SMcT0003635.1
OG0005345	KAK4473807.1	h1SMcT0020363.1, h1SMcT0022756.1
OG0005346	KAK4476287.1, KAK4474268.1	h1SMcT0019279.1, h1SMcT0019281.1
OG0005347	KAK4471269.1	h1SMcT0020882.1
OG0005348	KAK4474672.1	h1SMcT0008519.1
OG0005349	KAK4475903.1	h1SMcT0000978.1
OG0005351	KAK4469681.1	h1SMcT0004426.1
OG0005352	KAK4475533.1	h1SMcT0009097.1
OG0005353	KAK4467940.1	h1SMcT0019747.3, h1SMcT0019747.1, h1SMcT0019747.2
OG0005354	KAK4474132.1	h1SMcT0020587.1
OG0005355	KAK4473723.1	h1SMcT0005157.1
OG0005356	KAK4471488.1	h1SMcT0007786.1
OG0005359	KAK4475103.1	h1SMcT0008244.1, h1SMcT0008244.2
OG0005361	KAK4475317.1	h1SMcT0015899.1
OG0005362	KAK4471601.1	h1SMcT0005903.1
OG0005363	KAK4476167.1	h1SMcT0013517.1
OG0005364	KAK4469271.1	h1SMcT0002564.1, h1SMcT0017083.1
OG0005365	KAK4474960.1	h1SMcT0012090.1
OG0005367	KAK4473289.1	h1SMcT0021009.1, h1SMcT0022883.1
OG0005368	KAK4475497.1	h1SMcT0004520.3, h1SMcT0004520.1, h1SMcT0022902.1, h1SMcT0004520.2
OG0005369	KAK4474137.1	h1SMcT0016420.1
OG0005370	KAK4474136.1	h1SMcT0011999.1
OG0005371	KAK4474139.1	h1SMcT0001649.1
OG0005373	KAK4468909.1	h1SMcT0015114.1
OG0005374	KAK4475474.1	h1SMcT0010137.1, h1SMcT0010137.2
OG0005376	KAK4471964.1, KAK4471966.1	h1SMcT0009939.1
OG0005377	KAK4472475.1	h1SMcT0015011.1, h1SMcT0015011.2
OG0005378	KAK4472621.1	h1SMcT0009657.1
OG0005379	KAK4469052.1	h1SMcT0013103.1, h1SMcT0013104.1, h1SMcT0013104.2, h1SMcT0013104.3
OG0005381	KAK4476183.1	h1SMcT0016472.1
OG0005382	KAK4467632.1	h1SMcT0004183.1
OG0005383	KAK4473700.1	h1SMcT0008183.3, h1SMcT0008183.1, h1SMcT0008183.2
OG0005384	KAK4468231.1	h1SMcT0010476.1
OG0005385	KAK4474407.1	h1SMcT0008834.1
OG0005386	KAK4472386.1	h1SMcT0016783.1
OG0005387	KAK4473111.1, KAK4473112.1	h1SMcT0003956.1, h1SMcT0003956.2
OG0005389	KAK4469592.1	h1SMcT0001253.1, h1SMcT0001253.2
OG0005390	KAK4467858.1	h1SMcT0020536.1, h1SMcT0020536.2
OG0005391	KAK4471094.1	h1SMcT0015403.2, h1SMcT0015403.5, h1SMcT0015403.4, h1SMcT0015403.3, h1SMcT0015403.6
OG0005393	KAK4469134.1	h1SMcT0015371.1
OG0005396	KAK4474733.1	h1SMcT0018694.1
OG0005397	KAK4473795.1	h1SMcT0010847.1
OG0005398	KAK4472884.1	h1SMcT0001541.1
OG0005401	KAK4469817.1	h1SMcT0005090.1
OG0005402	KAK4469777.1	h1SMcT0021158.1, h1SMcT0021158.2
OG0005403	KAK4473692.1	h1SMcT0018277.1
OG0005404	KAK4474940.1	h1SMcT0019608.1
OG0005407	KAK4469726.1	h1SMcT0007418.1
OG0005408	KAK4468931.1	h1SMcT0004871.1
OG0005409	KAK4472634.1	h1SMcT0007996.1
OG0005410	KAK4476222.1	h1SMcT0003115.1, h1SMcT0003115.2
OG0005412	KAK4471776.1	h1SMcT0009590.1, h1SMcT0009590.2
OG0005414	KAK4470694.1	h1SMcT0010838.1
OG0005416	KAK4473179.1	h1SMcT0015697.2
OG0005419	KAK4471558.1	h1SMcT0003258.1
OG0005421	KAK4470967.1, KAK4469044.1	h1SMcT0003273.1, h1SMcT0003273.2
OG0005423	KAK4472833.1	h1SMcT0014429.1, h1SMcT0020215.1
OG0005424	KAK4468006.1	h1SMcT0013767.1
OG0005425	KAK4467997.1	h1SMcT0018078.1
OG0005427	KAK4467654.1	h1SMcT0014789.1
OG0005428	KAK4468793.1	h1SMcT0020254.1
OG0005429	KAK4471823.1	h1SMcT0006786.1
OG0005430	KAK4474168.1	h1SMcT0021869.1, h1SMcT0021869.2
OG0005431	KAK4470808.1	h1SMcT0019095.1
OG0005432	KAK4468301.1	h1SMcT0012570.1, h1SMcT0012570.2
OG0005433	KAK4470800.1	h1SMcT0021246.1, h1SMcT0021246.2
OG0005434	KAK4472945.1	h1SMcT0015390.1
OG0005437	KAK4471389.1	h1SMcT0015933.1
OG0005438	KAK4474403.1	h1SMcT0001432.1
OG0005439	KAK4473708.1	h1SMcT0004501.1, h1SMcT0011381.1, h1SMcT0011381.3, h1SMcT0011381.2
OG0005440	KAK4470245.1	h1SMcT0018497.1, h1SMcT0018497.2, h1SMcT0018497.3, h1SMcT0018497.4, h1SMcT0018497.5, h1SMcT0019105.1
OG0005441	KAK4468406.1	h1SMcT0012429.1
OG0005443	KAK4471968.1	h1SMcT0012006.1, h1SMcT0012006.2
OG0005444	KAK4475154.1	h1SMcT0009319.1, h1SMcT0013405.1
OG0005445	KAK4470082.1	h1SMcT0005226.1
OG0005446	KAK4474003.1	h1SMcT0000572.1, h1SMcT0000572.2
OG0005447	KAK4471192.1	h1SMcT0009078.1
OG0005450	KAK4471837.1	h1SMcT0022397.4, h1SMcT0022397.2, h1SMcT0022397.1, h1SMcT0022397.3
OG0005451	KAK4468282.1	h1SMcT0000680.1
OG0005454	KAK4469958.1	h1SMcT0014647.1, h1SMcT0014647.2, h1SMcT0014647.3
OG0005455	KAK4469401.1	h1SMcT0022412.1
OG0005463	KAK4474993.1	h1SMcT0000925.1, h1SMcT0000925.2
OG0005464	KAK4469656.1	h1SMcT0004115.1, h1SMcT0022471.1
OG0005465	KAK4468910.1	h1SMcT0001165.1
OG0005466	KAK4470915.1	h1SMcT0010849.1
OG0005467	KAK4471322.1	h1SMcT0015151.1
OG0005468	KAK4475016.1	h1SMcT0018683.1
OG0005469	KAK4471559.1	h1SMcT0013802.1, h1SMcT0013802.2
OG0005470	KAK4468026.1	h1SMcT0009932.3
OG0005471	KAK4475168.1	h1SMcT0016372.2, h1SMcT0016372.3
OG0005472	KAK4470573.1	h1SMcT0008257.1
OG0005473	KAK4475617.1	h1SMcT0010049.1
OG0005475	KAK4468022.1	h1SMcT0013087.1, h1SMcT0013087.2
OG0005476	KAK4473689.1	h1SMcT0006388.1
OG0005477	KAK4473641.1	h1SMcT0003277.2, h1SMcT0003277.3, h1SMcT0003277.4
OG0005478	KAK4471178.1	h1SMcT0020687.1
OG0005479	KAK4470527.1	h1SMcT0011822.1
OG0005480	KAK4470594.1	h1SMcT0005344.1
OG0005481	KAK4474933.1	h1SMcT0016500.1
OG0005484	KAK4475448.1	h1SMcT0004462.1, h1SMcT0004462.2, h1SMcT0004462.3
OG0005485	KAK4469662.1	h1SMcT0014986.1, h1SMcT0014986.2
OG0005487	KAK4473331.1	h1SMcT0014822.1
OG0005489	KAK4467486.1	h1SMcT0016810.1
OG0005490	KAK4472294.1	h1SMcT0006778.1
OG0005492	KAK4468824.1	h1SMcT0006678.1
OG0005494	KAK4475846.1	h1SMcT0011251.1
OG0005495	KAK4470936.1	h1SMcT0020597.1
OG0005499	KAK4468695.1, KAK4468696.1	h1SMcT0021392.1
OG0005500	KAK4475036.1	h1SMcT0012220.1
OG0005502	KAK4467818.1	h1SMcT0005357.1
OG0005503	KAK4473752.1	h1SMcT0013867.1, h1SMcT0013867.2
OG0005504	KAK4467971.1	h1SMcT0000351.1, h1SMcT0018978.1
OG0005505	KAK4470826.1	h1SMcT0006432.1
OG0005506	KAK4468596.1	h1SMcT0017432.1, h1SMcT0017432.2, h1SMcT0017432.3
OG0005507	KAK4468731.1	h1SMcT0004236.1
OG0005508	KAK4474746.1	h1SMcT0006627.1, h1SMcT0010553.1
OG0005509	KAK4467612.1	h1SMcT0016419.1
OG0005510	KAK4468446.1	h1SMcT0021834.1, h1SMcT0021834.2
OG0005511	KAK4470795.1	h1SMcT0018808.1, h1SMcT0018997.1
OG0005512	KAK4470543.1	h1SMcT0021450.1, h1SMcT0021450.2
